generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,4.254545454545455,9.0,1.0,1.0,1.0,47,10.477
200,1000,9.563636363636364,13.0,1.0,1.0,1.0,45,20.455
300,1000,12.363636363636363,17.0,1.0,1.0,1.0,49,33.154
400,1000,14.054545454545455,20.0,1.0,1.0,1.0,60,42.127
500,1000,15.090909090909092,25.0,1.0,1.0,1.0,46,52.925
600,1000,17.563636363636363,26.0,1.0,1.0,1.0,77,69.626
700,1000,20.236363636363638,37.0,1.0,1.0,1.0,39,77.38
800,1000,25.90909090909091,37.0,1.0,1.0,1.0,61,92.243
900,1000,31.4,46.0,1.0,1.0,1.0,59,99.926
1000,1000,29.145454545454545,44.0,1.0,1.0,1.0,57,112.348
1100,1000,30.29090909090909,52.0,1.0,1.0,1.0,42,125.349
1200,1000,31.327272727272728,65.0,1.0,1.0,1.0,97,137.951
1300,1000,28.90909090909091,58.0,1.0,1.0,1.0,83,144.072
1400,1000,35.54545454545455,61.0,1.0,1.0,1.0,68,159.612
1500,1000,41.07272727272727,68.0,1.0,1.0,1.0,104,163.512
1600,1000,26.672727272727272,73.0,1.0,1.0,1.0,68,185.352
1700,1000,41.58181818181818,77.0,1.0,1.0,1.0,40,192.667
1800,1000,36.018181818181816,81.0,1.0,1.0,1.0,78,207.058
1900,1000,29.363636363636363,44.0,1.0,1.0,1.0,94,218.288
2000,1000,25.70909090909091,42.0,1.0,1.0,1.0,58,226.296
