generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,51.0,63.0,1.0,1.0,1.0,12,27.804
200,1000,90.30909090909091,115.0,1.0,1.0,1.0,12,55.246
300,1000,113.21818181818182,147.0,1.0,1.0,1.0,10,82.906
400,1000,116.92727272727272,189.0,1.0,1.0,1.0,15,110.784
500,1000,162.6727272727273,225.0,1.0,1.0,1.0,12,139.147
600,1000,184.43636363636364,265.0,1.0,1.0,1.0,9,167.59
700,1000,195.56363636363636,298.0,1.0,1.0,1.0,11,194.699
800,1000,200.23636363636365,306.0,1.0,1.0,1.0,12,224.003
900,1000,204.94545454545454,335.0,1.0,1.0,1.0,12,251.808
1000,1000,213.5090909090909,358.0,1.0,1.0,1.0,7,278.789
1100,1000,292.25454545454545,403.0,1.0,1.0,1.0,12,306.147
1200,1000,223.1090909090909,423.0,1.0,1.0,1.0,9,335.157
1300,1000,219.3090909090909,294.0,1.0,1.0,1.0,9,362.171
1400,1000,236.94545454545454,317.0,1.0,1.0,1.0,13,389.115
1500,1000,163.6909090909091,300.0,1.0,1.0,1.0,13,418.172
1600,1000,202.4909090909091,382.0,1.0,1.0,1.0,13,445.073
1700,1000,287.7818181818182,400.0,1.0,1.0,1.0,9,474.042
1800,1000,307.6545454545454,413.0,1.0,1.0,1.0,9,501.511
1900,1000,286.23636363636365,442.0,1.0,1.0,1.0,10,522.505
2000,1000,361.3818181818182,468.0,1.0,1.0,1.0,9,553.212
