generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,47.09090909090909,65.0,1.0,1.0,1.0,11,27.97
200,1000,83.87272727272727,107.0,1.0,1.0,1.0,11,56.027
300,1000,119.94545454545455,157.0,1.0,1.0,1.0,13,83.146
400,1000,155.25454545454545,199.0,1.0,1.0,1.0,8,110.277
500,1000,194.01818181818183,240.0,1.0,1.0,1.0,10,138.435
600,1000,208.07272727272726,281.0,1.0,1.0,1.0,9,165.156
700,1000,211.56363636363636,288.0,1.0,1.0,1.0,10,194.463
800,1000,218.1090909090909,326.0,1.0,1.0,1.0,13,221.497
900,1000,218.63636363636363,352.0,1.0,1.0,1.0,9,248.991
1000,1000,236.14545454545456,383.0,1.0,1.0,1.0,9,275.774
1100,1000,281.6545454545454,402.0,1.0,1.0,1.0,7,304.209
1200,1000,323.1272727272727,433.0,1.0,1.0,1.0,9,330.759
1300,1000,307.3272727272727,451.0,1.0,1.0,1.0,8,358.438
1400,1000,320.2909090909091,462.0,1.0,1.0,1.0,10,385.399
1500,1000,251.4,483.0,1.0,1.0,1.0,10,414.749
1600,1000,189.76363636363635,322.0,1.0,1.0,1.0,12,439.852
1700,1000,188.27272727272728,353.0,1.0,1.0,1.0,16,469.409
1800,1000,299.8181818181818,546.0,1.0,1.0,1.0,9,495.768
1900,1000,325.3272727272727,550.0,1.0,1.0,1.0,11,521.157
2000,1000,211.47272727272727,322.0,1.0,1.0,1.0,9,550.082
