generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,0.7272727272727273,3.0,1.0,1.0,1.0,665,1.578
200,1000,1.1272727272727272,3.0,1.0,1.0,1.0,522,5.575
300,1000,2.581818181818182,5.0,1.0,1.0,1.0,188,10.114
400,1000,2.4727272727272727,6.0,1.0,1.0,1.0,331,12.685
500,1000,1.9636363636363636,5.0,1.0,1.0,1.0,377,13.915
600,1000,2.0,5.0,1.0,1.0,1.0,217,23.15
700,1000,3.4909090909090907,7.0,1.0,1.0,1.0,226,21.722
800,1000,3.6,9.0,1.0,1.0,1.0,236,31.192
900,1000,1.9636363636363636,5.0,1.0,1.0,1.0,326,32.64
1000,1000,1.0545454545454545,3.0,1.0,1.0,1.0,311,38.782
1100,1000,2.2181818181818183,4.0,1.0,1.0,1.0,142,53.295
1200,1000,3.3454545454545452,6.0,1.0,1.0,1.0,150,64.609
1300,1000,2.727272727272727,5.0,1.0,1.0,1.0,314,59.492
1400,1000,2.581818181818182,5.0,1.0,1.0,1.0,361,67.415
1500,1000,3.2,5.0,1.0,1.0,1.0,255,69.598
1600,1000,3.9272727272727272,8.0,1.0,1.0,1.0,360,76.003
1700,1000,3.2,6.0,1.0,1.0,1.0,257,72.641
1800,1000,4.036363636363636,9.0,1.0,1.0,1.0,268,64.263
1900,1000,3.9272727272727272,9.0,1.0,1.0,1.0,420,58.589
2000,1000,3.4545454545454546,8.0,1.0,1.0,1.0,509,55.136
