generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,6.109090909090909,12.0,1.0,1.0,1.0,117,9.791
200,1000,10.50909090909091,17.0,1.0,1.0,1.0,91,20.737
300,1000,12.018181818181818,21.0,1.0,1.0,1.0,79,33.636
400,1000,14.181818181818182,25.0,1.0,1.0,1.0,88,44.945
500,1000,17.10909090909091,26.0,1.0,1.0,1.0,50,53.89
600,1000,25.90909090909091,36.0,1.0,1.0,1.0,46,66.657
700,1000,28.418181818181818,40.0,1.0,1.0,1.0,77,75.448
800,1000,20.472727272727273,37.0,1.0,1.0,1.0,51,90.472
900,1000,26.327272727272728,40.0,1.0,1.0,1.0,66,100.665
1000,1000,28.763636363636362,47.0,1.0,1.0,1.0,42,111.683
1100,1000,27.272727272727273,56.0,1.0,1.0,1.0,54,119.985
1200,1000,32.58181818181818,56.0,1.0,1.0,1.0,53,128.165
1300,1000,37.72727272727273,61.0,1.0,1.0,1.0,71,138.699
1400,1000,34.32727272727273,67.0,1.0,1.0,1.0,40,154.268
1500,1000,45.4,72.0,1.0,1.0,1.0,65,157.015
1600,1000,53.18181818181818,79.0,1.0,1.0,1.0,119,176.858
1700,1000,40.345454545454544,80.0,1.0,1.0,1.0,65,188.8
1800,1000,49.872727272727275,83.0,1.0,1.0,1.0,90,203.254
1900,1000,51.96363636363636,88.0,1.0,1.0,1.0,45,208.918
2000,1000,26.509090909090908,60.0,1.0,1.0,1.0,84,219.721
