generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,5.109090909090909,10.0,1.0,1.0,1.0,49,10.202
200,1000,10.10909090909091,16.0,1.0,1.0,1.0,47,20.799
300,1000,9.981818181818182,18.0,1.0,1.0,1.0,63,29.606
400,1000,16.09090909090909,23.0,1.0,1.0,1.0,82,42.0
500,1000,14.636363636363637,24.0,1.0,1.0,1.0,49,54.903
600,1000,22.963636363636365,35.0,1.0,1.0,1.0,54,66.504
700,1000,16.90909090909091,34.0,1.0,1.0,1.0,77,73.356
800,1000,21.363636363636363,34.0,1.0,1.0,1.0,60,84.938
900,1000,28.6,42.0,1.0,1.0,1.0,66,100.061
1000,1000,31.490909090909092,48.0,1.0,1.0,1.0,61,105.993
1100,1000,39.27272727272727,55.0,1.0,1.0,1.0,64,118.161
1200,1000,31.6,56.0,1.0,1.0,1.0,83,128.307
1300,1000,39.89090909090909,62.0,1.0,1.0,1.0,64,145.105
1400,1000,47.345454545454544,72.0,1.0,1.0,1.0,66,153.785
1500,1000,46.74545454545454,73.0,1.0,1.0,1.0,42,160.736
1600,1000,31.509090909090908,66.0,1.0,1.0,1.0,48,179.363
1700,1000,18.98181818181818,38.0,1.0,1.0,1.0,56,183.495
1800,1000,19.654545454545456,42.0,1.0,1.0,1.0,83,197.019
1900,1000,8.036363636363637,23.0,1.0,1.0,1.0,63,213.6
2000,1000,12.127272727272727,26.0,1.0,1.0,1.0,47,217.197
