feature,mu_level,noise_arm,noise_level,sample_ratio,n,sigma,nsr,rho_all,p_all,rho_pos,p_pos,kw_H,kw_p,eps_sq,n_inversions,spread,p_all_bh,p_pos_bh,kw_p_bh,ranks_dose,monotone
barcode_mean_len,high,abs,0.0,0.1,50,0.0,0.0,0.4621042425659662,0.000729244617296035,0.03985845858204769,0.8070834362818722,21.020003975945503,0.00031379031161955513,0.37822231057656674,2,5.948333333333333,0.0015172203447098714,0.8946216874161397,0.0006029441938144345,False,False
barcode_mean_len,high,abs,5.0,0.1,50,2.2361,0.008792039789480949,0.4483715694714153,0.0010926323125398179,0.15926083504672833,0.3262980844796707,19.087147766323017,0.0007555554986719191,0.3352699503627337,2,4.958822086879184,0.002103826191846854,0.5019067135187893,0.0013723957300095404,False,False
barcode_mean_len,high,abs,10.0,0.1,50,3.1622999999999997,0.012433731687435985,0.45973177646320595,0.0007829501327344468,0.08634268251293455,0.5962825252862918,19.170851864522724,0.0007274627308864102,0.33713004143383835,2,5.32558780670166,0.0016129336176848043,0.7463563237096249,0.0013265496857340422,False,False
barcode_mean_len,high,abs,15.0,0.1,50,3.873,0.015228107018764689,0.4338987796899835,0.0016436896341456625,0.11245717647777476,0.4896380252344672,17.47990803484991,0.0015589891932384751,0.29955351188555357,2,5.062863504318964,0.0030032050289891276,0.6548058361655582,0.0026849258327995957,False,False
barcode_mean_len,high,abs,20.0,0.1,50,4.472100000000001,0.017583686392620076,0.42876085784129947,0.0018920800714906053,0.0038844106108958127,0.9810215471907328,16.926340133404725,0.001997692254123497,0.28725200296454945,2,5.501709772745768,0.0034101443148958585,0.9874420472781524,0.0033414636624727557,False,False
barcode_mean_len,high,abs,25.0,0.1,50,5.0,0.019659317091098225,0.5347482693004673,6.320564765098527e-05,0.22965375039485533,0.1540027180600325,17.8095788964182,0.0013444489864014128,0.3068795310315155,2,5.858928426106771,0.00016699219407788723,0.30408179999114693,0.002337079546454792,False,False
barcode_mean_len,high,abs,30.0,0.1,50,5.477199999999999,0.02153560231427264,0.43697859408989637,0.0015091294728082514,0.07561775659712443,0.6428280256213802,14.426898413769798,0.006050125586799901,0.23170885363932886,2,6.067973000662667,0.0027957976289077167,0.7880381595069959,0.009075188380199852,False,False
barcode_mean_len,high,abs,35.0,0.1,50,5.916100000000001,0.02326129716852924,0.39355898384579013,0.00469002137328365,0.09119339501366118,0.5757270850329211,13.228814133591447,0.010210231764292534,0.20508475852425437,2,5.066017005557105,0.007665588536298408,0.7292682601954149,0.01472172952060784,False,False
barcode_mean_len,high,abs,40.0,0.1,50,6.324599999999999,0.02486746337487197,0.343691029059469,0.014535654708769845,-0.03490050304482665,0.8307062798237339,14.926560917988526,0.004855983614909196,0.24281246484418947,1,6.049541282653808,0.022160916195337634,0.9101324606371831,0.00740483196800054,False,False
barcode_mean_len,high,abs,45.0,0.1,50,6.708199999999998,0.026375726182101017,0.3166867339190822,0.025046020578767106,0.10755935145075503,0.508859573895304,12.79206884913936,0.012337764243107778,0.19537930775865245,2,3.46934547151838,0.03627340658768005,0.674130204733095,0.01750549231508113,False,False
barcode_mean_len,high,abs,50.0,0.1,50,7.0711,0.027802599416572937,0.18922932786540564,0.18812787828508434,0.0474811551449279,0.771098069917061,10.054832972843077,0.03951408806182351,0.13455184384095725,1,3.388623174031575,0.22517236397056428,0.8734238583619429,0.05125258284169576,False,False
barcode_mean_len,high,abs,55.0,0.1,50,7.416200000000001,0.029159485482200532,0.40899232458076823,0.0031876523615484036,-0.016466097788958203,0.9196733651154466,16.36884913938573,0.0025621321349751313,0.2748633142085718,2,6.100113677978515,0.00545951509436467,0.9664364175789438,0.004151189696039847,False,False
barcode_mean_len,high,abs,60.0,0.1,50,7.746,0.030456214037529378,0.2744618360632046,0.0537467372824755,0.031977104485359606,0.8447057571837158,8.51788727640903,0.07434688816174674,0.10039749503131179,2,3.915538609822592,0.0724147719094357,0.9196352973460092,0.09219014132056597,False,False
barcode_mean_len,high,abs,65.0,0.1,50,8.0623,0.031699862436712245,0.45898052774499076,0.0008006821399151242,0.2703518833762221,0.09156149085936888,16.79418497947354,0.0021192518407101317,0.28431522176607865,1,5.634306189219158,0.0016401638548922148,0.21288046624803264,0.003525767820859432,False,False
barcode_mean_len,high,abs,70.0,0.1,50,8.3666,0.03289632847487648,0.3065051491335936,0.03039499959073604,0.09205530079118675,0.572108564763086,9.285488215488192,0.05434657870904063,0.11745529367751537,2,4.313858254750569,0.04315625896089239,0.7278535776055677,0.06904688278607621,False,False
barcode_mean_len,high,abs,75.0,0.1,50,8.6603,0.03405111676080759,0.34149665070689517,0.0152188361820848,-0.030999370331685136,0.849398647486282,12.790158409167498,0.012347960170637872,0.19533685353705552,1,4.927130562918526,0.023126662825717098,0.9196352973460092,0.01750549231508113,False,False
barcode_mean_len,high,abs,80.0,0.1,50,8.9443,0.03516776597158197,0.21112448927938815,0.14108477906266795,-0.25186988394494175,0.11691654965622733,14.20080998987511,0.006680977731627512,0.2266846664416691,1,5.029420280456543,0.17401703518339678,0.25068759228912,0.00994129486466174,False,False
barcode_mean_len,high,abs,85.0,0.1,50,9.219499999999998,0.03624981478427602,0.3384607261073795,0.01620901956052146,0.07373083001104522,0.6511651232956438,9.81423039690221,0.04367595276606321,0.12920511993116024,1,5.403691889444987,0.024511200311032454,0.7943416535752256,0.05618068613062072,False,False
barcode_mean_len,high,abs,90.0,0.1,50,9.486800000000002,0.03730080187596613,0.5273202360140997,8.330176116967348e-05,0.30634886006014506,0.05453136986217957,15.761694228822124,0.0033561856731087,0.2613709828627139,1,6.344392356872557,0.00021519621635498982,0.14893637945725174,0.005290258772866256,False,False
barcode_mean_len,high,abs,95.0,0.1,50,9.7468,0.03832308636470324,0.2784514461853637,0.050222284468458465,0.011623127851029322,0.9432525864369302,7.518750300408534,0.11088532037150374,0.07819445112018965,2,4.114818922678631,0.06788768104021276,0.9703842663866575,0.13375272107068545,False,False
barcode_mean_len,high,abs,100.0,0.1,50,10.0,0.03931863418219645,0.1853074765106822,0.1976165894106324,-0.09687303228651604,0.5520760083512004,6.1715741408315115,0.18669618035645846,0.048257203129589143,2,2.5623573811848965,0.23592224409741736,0.7082764076652006,0.21464253225847096,False,False
barcode_mean_len,high,abs,0.0,0.2,50,0.0,0.0,0.14462174439593994,0.3163217088133284,-0.6829228343197766,1.2036443229534227e-06,37.019212651413184,1.7849605276140211e-07,0.7337602811425152,3,6.434199134199135,0.36095606036367534,0.0003451486002716354,1.6435775155257818e-06,False,False
barcode_mean_len,high,abs,5.0,0.2,50,2.2361,0.008554687994029036,0.14993876301030773,0.2986649583620375,-0.6682985031449764,2.449284090234204e-06,35.39294117647057,3.8572705816935203e-07,0.6976209150326794,3,5.798348244561089,0.3420670089614469,0.0003796390339863016,2.614560522137653e-06,False,False
barcode_mean_len,high,abs,10.0,0.2,50,3.1622999999999997,0.012098067994954614,0.19207841535960993,0.18144189614739661,-0.5850033273906751,7.354549547364203e-05,33.013647058823494,1.1868203419457654e-06,0.6447477124182999,3,5.558428833866533,0.21801158064222073,0.002279910359682903,5.9661779351868214e-06,False,False
barcode_mean_len,high,abs,15.0,0.2,50,3.873,0.014817005769363827,0.2459779706901127,0.08508751942510943,-0.47458879208846155,0.0019742012567378585,28.9195294117647,8.117211432782407e-06,0.5537673202614377,3,4.96903191053162,0.110673277014478,0.013500052711516239,2.749930554388509e-05,False,False
barcode_mean_len,high,abs,20.0,0.2,50,4.472100000000001,0.01710899341625922,0.20089834259551034,0.16182951071717722,-0.571443647616719,0.00011746191891991342,32.228705882352926,1.7178527014894425e-06,0.6273045751633983,3,5.5161791661360215,0.19673391498950954,0.0028010149896287046,7.988015061925908e-06,False,False
barcode_mean_len,high,abs,25.0,0.2,50,5.0,0.019128589942375193,0.28419765537901465,0.04547791678099263,-0.35061457701229204,0.02654757780827596,24.44988235294116,6.488872704531556e-05,0.4544418300653591,3,5.141913481090003,0.061924542615407245,0.08881024230826129,0.000155132432267721,False,False
barcode_mean_len,high,abs,30.0,0.2,50,5.477199999999999,0.020954222566475486,0.19403839918981003,0.17694263427729667,-0.4939597631941131,0.0011980997610938904,26.372705882352903,2.6614017716366212e-05,0.4971712418300645,2,3.7548326762035633,0.2128805302430607,0.009860467060330249,7.322791856869993e-05,False,False
barcode_mean_len,high,abs,35.0,0.2,50,5.916100000000001,0.022633330191617177,0.22931810813341186,0.10916890942369568,-0.48427427764128733,0.0015435449029094575,28.577882352941174,9.522897384624478e-06,0.5461751633986928,3,3.312395976458581,0.13757057691603927,0.011576586771820932,3.106154509091092e-05,False,False
barcode_mean_len,high,abs,40.0,0.2,50,6.324599999999999,0.024196135989909228,0.3194773643226165,0.02372610912833979,-0.2886274694742072,0.07088505559627353,25.48611764705882,4.016458423923715e-05,0.47746928104575154,2,4.208900030984614,0.034639374394593414,0.17721263899068382,0.00010233715984243987,False,False
barcode_mean_len,high,abs,45.0,0.2,50,6.708199999999998,0.025663681410288252,0.31163742900181607,0.02759074145965238,-0.3389919943489011,0.03237108028472536,26.230588235294107,2.8430864665627e-05,0.4940130718954246,2,4.311227891480357,0.03947598393457956,0.10170643467836007,7.753872181534636e-05,False,False
barcode_mean_len,high,abs,50.0,0.2,50,7.0711,0.02705203446830585,0.22539814047301163,0.11552865514129602,-0.49589686030467817,0.0011378881975140822,28.4941176470588,9.90300607368617e-06,0.5443137254901955,3,4.686068446832301,0.14480006641698828,0.00970858737328529,3.1978457112944926e-05,False,False
barcode_mean_len,high,abs,55.0,0.2,50,7.416200000000001,0.02837228974612858,0.24205800302971248,0.09034021797692271,-0.466840403646201,0.0023916007785953,29.170823529411734,7.216962274071234e-06,0.5593516339869274,2,3.875214802456399,0.11620525963836531,0.01482792482729086,2.523223652212875e-05,False,False
barcode_mean_len,high,abs,60.0,0.2,50,7.746,0.029634011538727655,0.12739894896300655,0.3779597172405056,-0.610185589828022,2.9101429564719534e-05,29.87105882352938,5.199343235376231e-06,0.5749124183006529,3,3.525350456953392,0.4219718331736737,0.0015035738608438426,1.9264498840238624e-05,False,False
barcode_mean_len,high,abs,65.0,0.2,50,8.0623,0.03084408613848231,0.13523888428380698,0.34906329925274965,-0.46490330653563583,0.0025073449504734676,22.10729411764703,0.000190800956817476,0.40238431372548955,3,2.8966165965695625,0.3920638506099724,0.015141758467144967,0.00039084777497853013,False,False
barcode_mean_len,high,abs,70.0,0.2,50,8.3666,0.032008252122375264,0.24107801111461244,0.09169206477831426,-0.3293065087960754,0.03799171111313534,20.263529411764694,0.0004429906035130362,0.3614117647058821,2,3.3276199538504754,0.11761878654321692,0.11324452351030725,0.0008322853762972195,False,False
barcode_mean_len,high,abs,75.0,0.2,50,8.6603,0.03313186549559038,0.17443856088780899,0.22567153762282602,-0.5869404245012402,6.866970894574676e-05,31.44564705882354,2.482985069274669e-06,0.6099032679738564,3,3.67226179230053,0.2660006717227227,0.002279910359682903,1.0790542590773095e-05,False,False
barcode_mean_len,high,abs,80.0,0.2,50,8.9443,0.0342183694043173,0.29987752602061546,0.034363216800099024,-0.24794843015233908,0.12291856702518365,19.05882352941174,0.0007653025570453458,0.3346405228758164,3,4.187647103176145,0.04805682950991292,0.25804575018830883,0.0013873906004915624,False,False
barcode_mean_len,high,abs,85.0,0.2,50,9.219499999999998,0.035271206994745626,0.15385873067070793,0.2860638676711572,-0.46877750075676616,0.002280575772707779,21.926588235294105,0.00020727772875416917,0.3983686274509801,3,3.5566645193719264,0.328849687186868,0.014627141162884374,0.0004218124458235828,False,False
barcode_mean_len,high,abs,90.0,0.2,50,9.486800000000002,0.036293821413065,0.21069826174651088,0.14190781314162118,-0.3680484510073784,0.01945924740411049,21.696941176470574,0.00023026682948650202,0.3932653594771239,2,3.3213714350525603,0.1748003526115334,0.07267911681053316,0.00046053365897300404,False,False
barcode_mean_len,high,abs,95.0,0.2,50,9.7468,0.037288508090068506,0.14797877918010763,0.3050980155323104,-0.34092909145946626,0.031333431812001294,16.256941176470576,0.0026930728264704788,0.27237647058823505,2,2.6446583363366507,0.3490051100185101,0.10013777177031341,0.004332917444183071,False,False
barcode_mean_len,high,abs,100.0,0.2,50,10.0,0.038257179884750386,0.17737853663310918,0.21782511582684097,-0.49589686030467817,0.0011378881975140822,26.124235294117625,2.987068010970636e-05,0.4916496732026139,3,3.5099432764705423,0.2577320072760332,0.00970858737328529,8.005686600007756e-05,False,False
barcode_mean_len,high,abs,0.0,0.3,50,0.0,0.0,0.2486429569181746,0.08165521474064548,-0.4765258891990267,0.0018804605022060316,30.10262638895568,4.664534430047789e-06,0.5800583641990151,3,8.191608309990663,0.10665639004044986,0.013050957216803057,1.7530953651442062e-05,False,False
barcode_mean_len,high,abs,5.0,0.3,50,2.2361,0.00862968335854591,0.38513682263431986,0.00574711049157717,-0.20726939083047097,0.19938430873187035,27.776941176470558,1.3840887822117625e-05,0.5283764705882347,3,6.442604067924219,0.009263107031484866,0.3657345308099397,4.276420489890163e-05,False,False
barcode_mean_len,high,abs,10.0,0.3,50,3.1622999999999997,0.012204126686968266,0.4351164103044224,0.0015892631899127624,-0.10460324397051804,0.5206416815555198,25.03058823529409,4.960235845621344e-05,0.46734640522875753,2,6.5092979640334345,0.0029152165022068425,0.684861052116879,0.00012400589614053358,False,False
barcode_mean_len,high,abs,15.0,0.3,50,3.873,0.014946900249384337,0.4409963617950227,0.0013483902080002057,-0.09685485552825747,0.5521509629648069,26.19576470588234,2.8894544434142634e-05,0.4932392156862742,3,6.1180438666422425,0.0025282316400003857,0.7082764076652006,7.832125022472253e-05,False,False
barcode_mean_len,high,abs,20.0,0.3,50,4.472100000000001,0.017258980791446343,0.4037566690212208,0.003641167432932486,-0.16077906017690738,0.3216472515203678,24.46399999999997,6.446669257547313e-05,0.4547555555555549,2,5.523256577758281,0.006090441929185633,0.49689691680056824,0.00015452068065770623,False,False
barcode_mean_len,high,abs,25.0,0.3,50,5.0,0.01929628227392762,0.485095997974525,0.00035644101637273226,0.007748388442260596,0.9621531316641155,23.400470588235265,0.000105308673401745,0.4311215686274503,2,6.3268210802000535,0.0007930386249441172,0.9779261338225437,0.00023486107017655361,False,False
barcode_mean_len,high,abs,30.0,0.3,50,5.477199999999999,0.02113791945415127,0.47137611116312433,0.0005496835349912938,-0.013559679773956045,0.933817144982964,23.662117647058835,9.334669237261791e-05,0.43693594771241856,2,5.1742761853035395,0.0011860920824638126,0.9703842663866575,0.0002132983388366945,False,False
barcode_mean_len,high,abs,35.0,0.3,50,5.916100000000001,0.022831747112156648,0.45373625669132334,0.0009348509483225794,-0.06586130175921506,0.6863790881687026,24.150588235294094,7.45105662861315e-05,0.4477908496732021,2,5.718415701161136,0.0018616946080085627,0.816282035801654,0.00017526400556592278,False,False
barcode_mean_len,high,abs,40.0,0.3,50,6.324599999999999,0.024408253373936532,0.485095997974525,0.00035644101637273226,0.013559679773956045,0.933817144982964,23.521882352941162,9.957970876752892e-05,0.43381960784313695,2,5.326455942208674,0.0007930386249441172,0.9703842663866575,0.0002236935486806809,False,False
