feature,mu_level,noise_arm,noise_level,sample_ratio,n_pos,n_neg,sigma,nsr,n_nan_pos,n_nan_neg,auc,auc_se,auc_lo,auc_hi,p_raw,thresh_max_r0,thresh_mean2sd_r0,p_bh,detectable
barcode_mean_len,high,abs,0.0,0.1,40,10,0.0,0.0,0,0,0.895,0.06901662169823426,0.7597274214714609,1.0,5.0915299035043556e-05,4.0,2.9298221281347034,0.00010227047106391038,False
barcode_mean_len,high,abs,5.0,0.1,40,10,2.2361,0.008792039789480949,0,0,0.83375,0.08328125329042502,0.6705187435507669,0.9969812564492331,0.0005540225371044692,8.45013427734375,6.501531836977749,0.0008960712339254894,False
barcode_mean_len,high,abs,10.0,0.1,40,10,3.1622999999999997,0.012433731687435985,0,0,0.8825,0.0724161454466948,0.7405643549244781,1.0,9.520068179527628e-05,3.354726791381836,2.8109676305453624,0.00017958749304179905,False
barcode_mean_len,high,abs,15.0,0.1,40,10,3.873,0.015228107018764689,0,0,0.83375,0.08328125329042502,0.6705187435507669,0.9969812564492331,0.000600633246805559,4.880340576171875,5.332575032652396,0.000958934002569479,False
barcode_mean_len,high,abs,20.0,0.1,40,10,4.472100000000001,0.017583686392620076,0,0,0.86875,0.07583503613481309,0.7201133291757664,1.0,0.00016533225333054954,2.048500061035156,2.7272764795408833,0.00029512283224071226,False
barcode_mean_len,high,abs,25.0,0.1,40,10,5.0,0.019659317091098225,0,0,0.8825,0.0724161454466948,0.7405643549244781,1.0,0.00010224320120915413,2.808685302734375,3.365617937046033,0.0001901723542490267,False
barcode_mean_len,high,abs,30.0,0.1,40,10,5.477199999999999,0.02153560231427264,0,0,0.85125,0.07976445866104212,0.6949116610243574,1.0,0.0003340235747854134,4.371429443359375,5.490762281759686,0.0005557100618075751,False
barcode_mean_len,high,abs,35.0,0.1,40,10,5.916100000000001,0.02326129716852924,0,0,0.8025,0.08868117913105483,0.6286848889031325,0.9763151110968675,0.0016720352532447378,6.9904632568359375,6.967042393962153,0.0024258857808386993,False
barcode_mean_len,high,abs,40.0,0.1,40,10,6.324599999999999,0.02486746337487197,0,0,0.82875,0.08421742049965074,0.6636838558206846,0.9938161441793154,0.0007271688507113954,6.286003112792969,6.665865542213533,0.0011404165786873485,False
barcode_mean_len,high,abs,45.0,0.1,40,10,6.708199999999998,0.026375726182101017,0,0,0.74,0.09670703816955153,0.550454205187679,0.929545794812321,0.010146100345558372,13.313079833984377,12.38621798644334,0.013160213837335125,False
barcode_mean_len,high,abs,50.0,0.1,40,10,7.0711,0.027802599416572937,0,0,0.6475,0.10322418164527133,0.44518060397526815,0.8498193960247318,0.07787443283065422,10.108673095703123,12.289337742762363,0.08952190671509076,False
barcode_mean_len,high,abs,55.0,0.1,40,10,7.416200000000001,0.029159485482200532,0,0,0.9075,0.06529615537908832,0.7795195354569868,1.0,3.921022751464492e-05,6.1205596923828125,5.398928849154155,8.250115744031624e-05,True
barcode_mean_len,high,abs,60.0,0.1,40,10,7.746,0.030456214037529378,0,0,0.7475,0.09591525384521943,0.55950610246337,0.9354938975366301,0.008337223018530049,17.15522003173828,14.938165508631315,0.010966927025789172,False
barcode_mean_len,high,abs,65.0,0.1,40,10,8.0623,0.031699862436712245,0,0,0.7875,0.09091985771966847,0.6092970788694498,0.9657029211305501,0.002675819095262301,8.97412363688151,9.685157219736833,0.0037477586725812345,False
barcode_mean_len,high,abs,70.0,0.1,40,10,8.3666,0.03289632847487648,0,0,0.7325,0.09745604398391211,0.5414861537915323,0.9235138462084678,0.012373087501183704,7.70220947265625,9.991997574152222,0.015828021150069937,False
barcode_mean_len,high,abs,75.0,0.1,40,10,8.6603,0.03405111676080759,0,0,0.835,0.08304262107383252,0.6722364626952883,0.9977635373047117,0.0005930271105896122,11.364517211914062,10.643562453664103,0.0009574916889728113,False
barcode_mean_len,high,abs,80.0,0.1,40,10,8.9443,0.03516776597158197,0,0,0.85125,0.07976445866104212,0.6949116610243574,1.0,0.0003340235747854134,6.992726643880208,8.393923657888855,0.0005557100618075751,False
barcode_mean_len,high,abs,85.0,0.1,40,10,9.219499999999998,0.03624981478427602,0,0,0.7975,0.08945125689625472,0.6221755364833408,0.9728244635166592,0.0019539558145495314,9.167373657226562,9.258831341745731,0.0027913654493564736,False
barcode_mean_len,high,abs,90.0,0.1,40,10,9.486800000000002,0.03730080187596613,0,0,0.80875,0.08768382172853907,0.6368897094120634,0.9806102905879366,0.0013984397626494,6.985990524291992,7.522651983285129,0.0020643634591491146,False
barcode_mean_len,high,abs,95.0,0.1,40,10,9.7468,0.03832308636470324,0,0,0.755,0.09507958205821124,0.568644019165906,0.941355980834094,0.006890541650397237,12.710113525390623,13.265174699069952,0.009158656568910987,False
barcode_mean_len,high,abs,100.0,0.1,40,10,10.0,0.03931863418219645,0,0,0.7175,0.09882976058442998,0.5237936692545173,0.9112063307454827,0.01791103806918521,12.207252502441406,13.298785058822746,0.02250490364752308,False
barcode_mean_len,high,abs,0.0,0.2,40,10,0.0,0.0,0,0,1.0,0.0,1.0,1.0,6.458484796201204e-07,2.0,2.8511900715418266,6.1159669901964865e-06,True
barcode_mean_len,high,abs,5.0,0.2,40,10,2.2361,0.008554687994029036,0,0,0.9975,0.011304532632817974,0.9753431160396768,1.0,7.38464879278088e-07,3.005859375,2.996627401171981,6.1159669901964865e-06,True
barcode_mean_len,high,abs,10.0,0.2,40,10,3.1622999999999997,0.012098067994954614,0,0,0.9975,0.011304532632817974,0.9753431160396768,1.0,7.38464879278088e-07,3.911445617675781,4.1632053412508885,6.1159669901964865e-06,True
barcode_mean_len,high,abs,15.0,0.2,40,10,3.873,0.014817005769363827,0,0,0.995,0.015966145597504214,0.9637063546288918,1.0,8.335799989322588e-07,4.868815104166667,5.601076261847663,6.1159669901964865e-06,True
barcode_mean_len,high,abs,20.0,0.2,40,10,4.472100000000001,0.01710899341625922,0,0,1.0,0.0,1.0,1.0,6.538314816033479e-07,3.867462158203125,4.614124295929054,6.1159669901964865e-06,True
barcode_mean_len,high,abs,25.0,0.2,40,10,5.0,0.019128589942375193,0,0,0.9575,0.04560493655786812,0.8681143243465785,1.0,4.79371076974779e-06,4.5304107666015625,4.479229919931716,1.4936901582520684e-05,True
barcode_mean_len,high,abs,30.0,0.2,40,10,5.477199999999999,0.020954222566475486,0,0,0.95,0.049253353765432696,0.8534634266197518,1.0,6.698612424583832e-06,6.671755472819011,7.680908402764231,1.9407194874962503e-05,True
barcode_mean_len,high,abs,35.0,0.2,40,10,5.916100000000001,0.022633330191617177,0,0,0.98,0.031677997785087585,0.9179111243412283,1.0,1.704032931269903e-06,4.8136138916015625,5.2160896304171285,7.170817312583755e-06,True
barcode_mean_len,high,abs,40.0,0.2,40,10,6.324599999999999,0.024196135989909228,0,0,0.9825,0.02967211382340579,0.9243426569061247,1.0,1.5147411749632373e-06,5.222333526611328,6.316793386797727,6.93945464392025e-06,True
barcode_mean_len,high,abs,45.0,0.2,40,10,6.708199999999998,0.025663681410288252,0,0,0.9875,0.025144807945463806,0.938216176426891,1.0,1.1948706156750042e-06,5.447081247965495,6.374904277297796,6.4232929050737215e-06,True
barcode_mean_len,high,abs,50.0,0.2,40,10,7.0711,0.02705203446830585,0,0,0.985,0.027507974990862768,0.9310843690179089,1.0,1.3457139554261416e-06,6.0366261800130205,7.012073738745828,6.621767082255618e-06,True
barcode_mean_len,high,abs,55.0,0.2,40,10,7.416200000000001,0.02837228974612858,0,0,0.9925,0.019528774581448426,0.9542236018203611,1.0,9.40412128600105e-07,5.6663869222005205,6.3423378401220605,6.1159669901964865e-06,True
barcode_mean_len,high,abs,60.0,0.2,40,10,7.746,0.029634011538727655,0,0,0.9575,0.04560493655786812,0.8681143243465785,1.0,4.79371076974779e-06,7.231474740164621,7.701861398423212,1.4936901582520684e-05,True
barcode_mean_len,high,abs,65.0,0.2,40,10,8.0623,0.03084408613848231,0,0,0.9025,0.06682609616168726,0.7715208515230929,1.0,4.9568014246983466e-05,9.253854370117187,9.958712115334936,9.977976893873295e-05,True
barcode_mean_len,high,abs,70.0,0.2,40,10,8.3666,0.032008252122375264,0,0,0.91,0.06450887154044081,0.783562611780736,1.0,3.6627656988930286e-05,8.469927978515624,8.57317867127058,7.724199773175774e-05,True
barcode_mean_len,high,abs,75.0,0.2,40,10,8.6603,0.03313186549559038,0,0,0.9825,0.02967211382340579,0.9243426569061247,1.0,1.5147411749632373e-06,7.249584197998047,8.436107163274777,6.93945464392025e-06,True
barcode_mean_len,high,abs,80.0,0.2,40,10,8.9443,0.0342183694043173,0,0,0.9275,0.05852534927823359,0.8127903154146622,1.0,1.7729779558998625e-05,7.101028987339565,8.743585710678804,4.142888188409226e-05,True
barcode_mean_len,high,abs,85.0,0.2,40,10,9.219499999999998,0.035271206994745626,0,0,0.91,0.06450887154044081,0.783562611780736,1.0,3.6627656988930286e-05,6.8053468976702005,7.509989344249951,7.724199773175774e-05,True
barcode_mean_len,high,abs,90.0,0.2,40,10,9.486800000000002,0.036293821413065,0,0,0.905,0.06606839361879746,0.775505948507157,1.0,4.483810553584596e-05,9.480865478515623,9.686898263333557,9.16471168095313e-05,True
barcode_mean_len,high,abs,95.0,0.2,40,10,9.7468,0.037288508090068506,0,0,0.85,0.08002868353293151,0.6931437802754542,1.0,0.00035800791626764355,8.622328186035157,10.473674048790093,0.0005913807497849174,False
barcode_mean_len,high,abs,100.0,0.2,40,10,10.0,0.038257179884750386,0,0,0.95,0.049253353765432696,0.8534634266197518,1.0,6.698612424583832e-06,8.08655242919922,9.016606398341583,1.9407194874962503e-05,True
barcode_mean_len,high,abs,0.0,0.3,40,10,0.0,0.0,0,0,0.99875,0.007998714160738517,0.9830725202449525,1.0,6.804877872384784e-07,5.0,4.398299734359383,6.1159669901964865e-06,True
