generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,3.381818181818182,11.0,1.0,1.0,1.0,86,9.801
200,1000,9.309090909090909,16.0,1.0,1.0,1.0,82,19.177
300,1000,11.563636363636364,18.0,1.0,1.0,1.0,85,31.853
400,1000,13.454545454545455,21.0,1.0,1.0,1.0,78,38.426
500,1000,13.927272727272728,25.0,1.0,1.0,1.0,62,53.908
600,1000,19.145454545454545,31.0,1.0,1.0,1.0,79,68.021
700,1000,21.381818181818183,35.0,1.0,1.0,1.0,53,79.312
800,1000,26.363636363636363,41.0,1.0,1.0,1.0,76,89.753
900,1000,27.563636363636363,42.0,1.0,1.0,1.0,49,98.209
1000,1000,31.490909090909092,47.0,1.0,1.0,1.0,61,114.404
1100,1000,35.4,50.0,1.0,1.0,1.0,36,123.506
1200,1000,32.763636363636365,48.0,1.0,1.0,1.0,51,134.2
1300,1000,33.836363636363636,55.0,1.0,1.0,1.0,73,150.438
1400,1000,39.69090909090909,62.0,1.0,1.0,1.0,50,153.076
1500,1000,47.49090909090909,65.0,1.0,1.0,1.0,39,169.279
1600,1000,53.127272727272725,75.0,1.0,1.0,1.0,59,182.38
1700,1000,53.36363636363637,81.0,1.0,1.0,1.0,72,195.978
1800,1000,38.18181818181818,72.0,1.0,1.0,1.0,55,207.987
1900,1000,44.67272727272727,79.0,1.0,1.0,1.0,70,213.662
2000,1000,21.854545454545455,38.0,1.0,1.0,1.0,43,225.991
