generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,3.8545454545454545,8.0,1.0,1.0,1.0,87,8.117
200,1000,9.018181818181818,13.0,1.0,1.0,1.0,57,19.053
300,1000,11.236363636363636,20.0,1.0,1.0,1.0,46,30.333
400,1000,16.363636363636363,25.0,1.0,1.0,1.0,46,41.058
500,1000,17.672727272727272,27.0,1.0,1.0,1.0,48,53.497
600,1000,23.418181818181818,36.0,1.0,1.0,1.0,65,58.894
700,1000,25.836363636363636,41.0,1.0,1.0,1.0,63,70.586
800,1000,24.527272727272727,42.0,1.0,1.0,1.0,53,82.34
900,1000,30.0,46.0,1.0,1.0,1.0,95,86.767
1000,1000,29.490909090909092,52.0,1.0,1.0,1.0,48,95.743
1100,1000,27.818181818181817,49.0,1.0,1.0,1.0,43,107.17
1200,1000,27.90909090909091,49.0,1.0,1.0,1.0,50,113.18
1300,1000,13.054545454545455,47.0,1.0,1.0,1.0,67,118.732
1400,1000,24.381818181818183,50.0,1.0,1.0,1.0,51,138.325
1500,1000,17.21818181818182,26.0,1.0,1.0,1.0,50,141.568
1600,1000,17.272727272727273,29.0,1.0,1.0,1.0,96,150.559
1700,1000,22.145454545454545,36.0,1.0,1.0,1.0,69,167.715
1800,1000,27.072727272727274,41.0,1.0,1.0,1.0,71,178.921
1900,1000,33.63636363636363,47.0,1.0,1.0,1.0,29,180.286
2000,1000,36.70909090909091,48.0,1.0,1.0,1.0,45,191.759
