generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,47.836363636363636,66.0,1.0,1.0,1.0,8,28.112
200,1000,84.4,111.0,1.0,1.0,1.0,8,54.752
300,1000,121.89090909090909,157.0,1.0,1.0,1.0,10,82.997
400,1000,148.8181818181818,196.0,1.0,1.0,1.0,13,111.095
500,1000,168.23636363636365,218.0,1.0,1.0,1.0,12,138.31
600,1000,212.74545454545455,256.0,1.0,1.0,1.0,9,166.517
700,1000,201.05454545454546,298.0,1.0,1.0,1.0,9,194.533
800,1000,178.29090909090908,330.0,1.0,1.0,1.0,8,222.069
900,1000,239.1090909090909,352.0,1.0,1.0,1.0,20,248.696
1000,1000,259.2181818181818,394.0,1.0,1.0,1.0,11,276.642
1100,1000,293.6181818181818,421.0,1.0,1.0,1.0,16,304.5
1200,1000,314.4727272727273,438.0,1.0,1.0,1.0,12,331.677
1300,1000,282.09090909090907,460.0,1.0,1.0,1.0,11,359.93
1400,1000,293.2,490.0,1.0,1.0,1.0,10,388.168
1500,1000,287.03636363636366,508.0,1.0,1.0,1.0,11,413.384
1600,1000,310.23636363636365,488.0,1.0,1.0,1.0,9,442.457
1700,1000,181.92727272727274,491.0,1.0,1.0,1.0,9,471.268
1800,1000,179.8,286.0,1.0,1.0,1.0,16,497.607
1900,1000,201.4181818181818,269.0,1.0,1.0,1.0,11,526.985
2000,1000,217.72727272727272,318.0,1.0,1.0,1.0,14,553.837
