generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,39.872727272727275,51.0,1.0,1.0,1.0,8,28.132
200,1000,95.45454545454545,112.0,1.0,1.0,1.0,8,55.604
300,1000,108.63636363636364,148.0,1.0,1.0,1.0,8,81.666
400,1000,148.0909090909091,192.0,1.0,1.0,1.0,10,109.553
500,1000,178.1818181818182,229.0,1.0,1.0,1.0,9,135.946
600,1000,195.76363636363635,259.0,1.0,1.0,1.0,10,164.39
700,1000,140.98181818181817,271.0,1.0,1.0,1.0,12,190.693
800,1000,216.14545454545456,299.0,1.0,1.0,1.0,11,218.323
900,1000,203.85454545454544,303.0,1.0,1.0,1.0,9,245.352
1000,1000,199.5090909090909,325.0,1.0,1.0,1.0,9,274.128
1100,1000,254.6727272727273,349.0,1.0,1.0,1.0,9,300.361
1200,1000,281.3454545454546,386.0,1.0,1.0,1.0,10,326.709
1300,1000,275.2,373.0,1.0,1.0,1.0,9,353.852
1400,1000,278.3090909090909,406.0,1.0,1.0,1.0,8,380.574
1500,1000,241.3272727272727,381.0,1.0,1.0,1.0,8,408.692
1600,1000,278.09090909090907,364.0,1.0,1.0,1.0,16,433.782
1700,1000,262.6909090909091,426.0,1.0,1.0,1.0,9,462.455
1800,1000,227.8909090909091,356.0,1.0,1.0,1.0,8,490.996
1900,1000,262.25454545454545,402.0,1.0,1.0,1.0,9,516.335
2000,1000,225.3090909090909,371.0,1.0,1.0,1.0,10,545.508
