generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,7.6,14.0,1.0,1.0,1.0,36,13.467
200,1000,19.181818181818183,29.0,1.0,1.0,1.0,64,28.076
300,1000,27.8,44.0,1.0,1.0,1.0,29,43.339
400,1000,31.272727272727273,44.0,1.0,1.0,1.0,46,57.915
500,1000,36.07272727272727,51.0,1.0,1.0,1.0,46,69.236
600,1000,33.10909090909091,54.0,1.0,1.0,1.0,25,83.385
700,1000,46.27272727272727,66.0,1.0,1.0,1.0,27,99.084
800,1000,49.36363636363637,71.0,1.0,1.0,1.0,20,114.598
900,1000,39.61818181818182,78.0,1.0,1.0,1.0,25,129.009
1000,1000,31.418181818181818,58.0,1.0,1.0,1.0,30,143.084
1100,1000,49.981818181818184,74.0,1.0,1.0,1.0,39,157.77
1200,1000,50.14545454545455,79.0,1.0,1.0,1.0,22,170.566
1300,1000,53.45454545454545,92.0,1.0,1.0,1.0,42,188.128
1400,1000,58.58181818181818,98.0,1.0,1.0,1.0,38,192.908
1500,1000,77.98181818181818,110.0,1.0,1.0,1.0,31,213.594
1600,1000,78.47272727272727,118.0,1.0,1.0,1.0,32,224.815
1700,1000,79.65454545454546,132.0,1.0,1.0,1.0,45,240.558
1800,1000,62.63636363636363,133.0,1.0,1.0,1.0,47,253.92
1900,1000,51.0,131.0,1.0,1.0,1.0,45,269.085
2000,1000,45.96363636363636,68.0,1.0,1.0,1.0,55,286.031
