generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,2.2545454545454544,5.0,1.0,1.0,1.0,41,3.152
200,1000,4.363636363636363,8.0,1.0,1.0,1.0,34,6.193
300,1000,6.327272727272727,11.0,1.0,1.0,1.0,30,9.536
400,1000,8.945454545454545,13.0,1.0,1.0,1.0,40,13.138
500,1000,7.3090909090909095,16.0,1.0,1.0,1.0,47,16.988
600,1000,9.89090909090909,15.0,1.0,1.0,1.0,29,19.474
700,1000,10.363636363636363,18.0,1.0,1.0,1.0,36,22.451
800,1000,9.454545454545455,14.0,1.0,1.0,1.0,42,25.7
900,1000,8.909090909090908,15.0,1.0,1.0,1.0,41,27.867
1000,1000,9.345454545454546,13.0,1.0,1.0,1.0,55,32.526
1100,1000,10.072727272727272,17.0,1.0,1.0,1.0,62,36.116
1200,1000,10.981818181818182,18.0,1.0,1.0,1.0,40,38.399
1300,1000,12.727272727272727,19.0,1.0,1.0,1.0,69,42.535
1400,1000,11.89090909090909,19.0,1.0,1.0,1.0,44,45.559
1500,1000,11.89090909090909,19.0,1.0,1.0,1.0,48,49.406
1600,1000,14.872727272727273,20.0,1.0,1.0,1.0,51,51.783
1700,1000,13.854545454545455,21.0,1.0,1.0,1.0,37,54.059
1800,1000,12.836363636363636,20.0,1.0,1.0,1.0,44,57.259
1900,1000,13.236363636363636,24.0,1.0,1.0,1.0,46,57.827
2000,1000,14.654545454545454,22.0,1.0,1.0,1.0,39,65.508
