generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,48.72727272727273,68.0,1.0,1.0,1.0,11,26.389
200,1000,84.43636363636364,102.0,1.0,1.0,1.0,11,52.617
300,1000,119.05454545454545,140.0,1.0,1.0,1.0,9,78.546
400,1000,152.96363636363637,180.0,1.0,1.0,1.0,11,104.278
500,1000,181.29090909090908,225.0,1.0,1.0,1.0,8,130.251
600,1000,181.6727272727273,225.0,1.0,1.0,1.0,11,156.744
700,1000,225.4,264.0,1.0,1.0,1.0,8,182.259
800,1000,231.8181818181818,270.0,1.0,1.0,1.0,14,207.779
900,1000,247.63636363636363,295.0,1.0,1.0,1.0,9,232.327
1000,1000,262.8181818181818,312.0,1.0,1.0,1.0,10,258.692
1100,1000,262.1090909090909,307.0,1.0,1.0,1.0,8,285.816
1200,1000,293.8545454545455,343.0,1.0,1.0,1.0,8,310.521
1300,1000,276.07272727272726,327.0,1.0,1.0,1.0,10,336.483
1400,1000,287.8545454545455,348.0,1.0,1.0,1.0,9,359.896
1500,1000,290.8545454545455,345.0,1.0,1.0,1.0,13,387.46
1600,1000,234.14545454545456,347.0,1.0,1.0,1.0,11,412.262
1700,1000,274.9818181818182,350.0,1.0,1.0,1.0,8,437.833
1800,1000,277.72727272727275,329.0,1.0,1.0,1.0,16,465.479
1900,1000,264.6727272727273,338.0,1.0,1.0,1.0,8,490.617
2000,1000,285.5272727272727,348.0,1.0,1.0,1.0,8,516.267
