generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,51.2,63.0,1.0,1.0,1.0,9,24.764
200,1000,82.0909090909091,104.0,1.0,1.0,1.0,9,49.747
300,1000,106.2909090909091,134.0,1.0,1.0,1.0,11,74.146
400,1000,140.43636363636364,176.0,1.0,1.0,1.0,7,99.741
500,1000,157.8,186.0,1.0,1.0,1.0,9,123.761
600,1000,173.72727272727272,200.0,1.0,1.0,1.0,7,148.427
700,1000,189.2,225.0,1.0,1.0,1.0,9,173.603
800,1000,209.4,250.0,1.0,1.0,1.0,11,199.165
900,1000,222.0,253.0,1.0,1.0,1.0,8,222.874
1000,1000,230.54545454545453,284.0,1.0,1.0,1.0,8,247.774
1100,1000,232.78181818181818,287.0,1.0,1.0,1.0,9,272.486
1200,1000,245.9090909090909,288.0,1.0,1.0,1.0,11,297.874
1300,1000,264.92727272727274,299.0,1.0,1.0,1.0,7,322.122
1400,1000,277.5090909090909,337.0,1.0,1.0,1.0,12,346.612
1500,1000,281.8909090909091,335.0,1.0,1.0,1.0,10,372.028
1600,1000,279.03636363636366,356.0,1.0,1.0,1.0,8,396.851
1700,1000,277.5272727272727,316.0,1.0,1.0,1.0,9,421.493
1800,1000,284.0181818181818,334.0,1.0,1.0,1.0,9,445.01
1900,1000,283.6909090909091,323.0,1.0,1.0,1.0,9,469.936
2000,1000,290.6363636363636,329.0,1.0,1.0,1.0,9,492.251
