generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,50.54545454545455,64.0,1.0,1.0,1.0,15,27.746
200,1000,96.81818181818181,122.0,1.0,1.0,1.0,11,54.489
300,1000,117.14545454545454,151.0,1.0,1.0,1.0,11,82.456
400,1000,163.34545454545454,195.0,1.0,1.0,1.0,8,110.397
500,1000,164.2,216.0,1.0,1.0,1.0,8,137.986
600,1000,208.43636363636364,269.0,1.0,1.0,1.0,11,165.499
700,1000,221.74545454545455,297.0,1.0,1.0,1.0,11,192.989
800,1000,247.03636363636363,335.0,1.0,1.0,1.0,8,216.521
900,1000,261.27272727272725,331.0,1.0,1.0,1.0,8,243.397
1000,1000,258.8545454545455,353.0,1.0,1.0,1.0,13,272.189
1100,1000,248.96363636363637,355.0,1.0,1.0,1.0,9,296.761
1200,1000,288.96363636363634,378.0,1.0,1.0,1.0,12,321.536
1300,1000,282.0181818181818,384.0,1.0,1.0,1.0,12,352.819
1400,1000,319.2909090909091,441.0,1.0,1.0,1.0,10,376.439
1500,1000,305.6909090909091,467.0,1.0,1.0,1.0,13,405.294
1600,1000,337.5272727272727,479.0,1.0,1.0,1.0,8,434.454
1700,1000,353.58181818181816,492.0,1.0,1.0,1.0,14,459.1
1800,1000,337.72727272727275,511.0,1.0,1.0,1.0,9,488.413
1900,1000,370.5272727272727,520.0,1.0,1.0,1.0,10,515.117
2000,1000,319.72727272727275,454.0,1.0,1.0,1.0,9,536.318
