generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,45.981818181818184,60.0,1.0,1.0,1.0,10,24.398
200,1000,91.89090909090909,120.0,1.0,1.0,1.0,10,50.084
300,1000,131.3090909090909,153.0,1.0,1.0,1.0,9,74.241
400,1000,151.29090909090908,179.0,1.0,1.0,1.0,11,99.386
500,1000,168.54545454545453,210.0,1.0,1.0,1.0,9,123.587
600,1000,189.9090909090909,221.0,1.0,1.0,1.0,7,148.126
700,1000,211.0,238.0,1.0,1.0,1.0,10,174.352
800,1000,217.25454545454545,244.0,1.0,1.0,1.0,7,198.186
900,1000,226.47272727272727,255.0,1.0,1.0,1.0,10,223.362
1000,1000,238.8181818181818,275.0,1.0,1.0,1.0,10,247.637
1100,1000,242.12727272727273,277.0,1.0,1.0,1.0,8,272.472
1200,1000,246.05454545454546,286.0,1.0,1.0,1.0,7,297.497
1300,1000,249.4181818181818,290.0,1.0,1.0,1.0,8,316.498
1400,1000,255.72727272727272,284.0,1.0,1.0,1.0,11,342.951
1500,1000,270.6545454545454,307.0,1.0,1.0,1.0,9,367.141
1600,1000,260.07272727272726,306.0,1.0,1.0,1.0,8,388.326
1700,1000,275.3272727272727,305.0,1.0,1.0,1.0,8,416.283
1800,1000,281.7090909090909,338.0,1.0,1.0,1.0,7,441.727
1900,1000,286.1818181818182,323.0,1.0,1.0,1.0,14,466.184
2000,1000,293.8909090909091,346.0,1.0,1.0,1.0,9,485.427
