generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,46.38181818181818,62.0,1.0,1.0,1.0,11,27.175
200,1000,86.2909090909091,102.0,1.0,1.0,1.0,10,54.298
300,1000,122.69090909090909,146.0,1.0,1.0,1.0,10,80.846
400,1000,142.43636363636364,177.0,1.0,1.0,1.0,8,108.0
500,1000,166.0909090909091,210.0,1.0,1.0,1.0,10,134.902
600,1000,191.98181818181817,234.0,1.0,1.0,1.0,10,162.029
700,1000,210.4909090909091,272.0,1.0,1.0,1.0,15,188.904
800,1000,230.3272727272727,281.0,1.0,1.0,1.0,9,217.371
900,1000,238.63636363636363,303.0,1.0,1.0,1.0,11,242.901
1000,1000,257.8363636363636,327.0,1.0,1.0,1.0,12,270.665
1100,1000,268.1636363636364,342.0,1.0,1.0,1.0,13,297.205
1200,1000,277.3090909090909,336.0,1.0,1.0,1.0,9,325.04
1300,1000,285.3272727272727,371.0,1.0,1.0,1.0,11,353.643
1400,1000,275.8909090909091,357.0,1.0,1.0,1.0,8,379.185
1500,1000,257.43636363636364,404.0,1.0,1.0,1.0,11,406.467
1600,1000,322.23636363636365,401.0,1.0,1.0,1.0,7,431.314
1700,1000,267.5090909090909,417.0,1.0,1.0,1.0,8,460.901
1800,1000,302.6545454545454,395.0,1.0,1.0,1.0,12,488.636
1900,1000,308.4,413.0,1.0,1.0,1.0,10,512.193
2000,1000,303.09090909090907,414.0,1.0,1.0,1.0,9,536.299
