generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,1.7818181818181817,5.0,1.0,1.0,1.0,44,2.876
200,1000,4.363636363636363,8.0,1.0,1.0,1.0,61,7.055
300,1000,6.945454545454545,14.0,1.0,1.0,1.0,28,9.956
400,1000,8.672727272727272,12.0,1.0,1.0,1.0,47,12.347
500,1000,9.781818181818181,16.0,1.0,1.0,1.0,39,15.327
600,1000,9.49090909090909,16.0,1.0,1.0,1.0,34,19.757
700,1000,14.581818181818182,24.0,1.0,1.0,1.0,52,22.133
800,1000,13.181818181818182,22.0,1.0,1.0,1.0,68,26.606
900,1000,13.836363636363636,19.0,1.0,1.0,1.0,59,28.791
1000,1000,18.87272727272727,28.0,1.0,1.0,1.0,53,31.664
1100,1000,11.345454545454546,17.0,1.0,1.0,1.0,50,35.759
1200,1000,13.89090909090909,21.0,1.0,1.0,1.0,40,39.014
1300,1000,13.309090909090909,22.0,1.0,1.0,1.0,32,40.765
1400,1000,15.636363636363637,23.0,1.0,1.0,1.0,29,45.367
1500,1000,18.10909090909091,26.0,1.0,1.0,1.0,43,47.213
1600,1000,20.254545454545454,28.0,1.0,1.0,1.0,28,50.624
1700,1000,15.381818181818181,24.0,1.0,1.0,1.0,59,55.095
1800,1000,17.963636363636365,24.0,1.0,1.0,1.0,42,57.667
1900,1000,17.236363636363638,25.0,1.0,1.0,1.0,44,61.586
2000,1000,17.072727272727274,29.0,1.0,1.0,1.0,40,64.022
