generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,2.4545454545454546,7.0,1.0,1.0,1.0,374,5.063
200,1000,4.4363636363636365,6.0,1.0,1.0,1.0,128,11.949
300,1000,5.3090909090909095,12.0,1.0,1.0,1.0,136,16.217
400,1000,4.9818181818181815,7.0,1.0,1.0,1.0,77,28.656
500,1000,9.527272727272727,17.0,1.0,1.0,1.0,78,34.426
600,1000,9.6,15.0,1.0,1.0,1.0,116,44.395
700,1000,11.054545454545455,17.0,1.0,1.0,1.0,120,55.809
800,1000,10.854545454545455,19.0,1.0,1.0,1.0,108,56.874
900,1000,13.709090909090909,23.0,1.0,1.0,1.0,84,71.899
1000,1000,19.345454545454544,28.0,1.0,1.0,1.0,100,76.069
1100,1000,20.254545454545454,34.0,1.0,1.0,1.0,108,86.895
1200,1000,18.818181818181817,35.0,1.0,1.0,1.0,211,102.126
1300,1000,20.945454545454545,38.0,1.0,1.0,1.0,105,106.391
1400,1000,25.0,39.0,1.0,1.0,1.0,71,115.329
1500,1000,16.509090909090908,38.0,1.0,1.0,1.0,123,121.444
1600,1000,27.30909090909091,46.0,1.0,1.0,1.0,97,124.401
1700,1000,22.509090909090908,43.0,1.0,1.0,1.0,127,136.223
1800,1000,21.163636363636364,42.0,1.0,1.0,1.0,88,142.098
1900,1000,19.6,33.0,1.0,1.0,1.0,177,144.257
2000,1000,18.545454545454547,39.0,1.0,1.0,1.0,120,165.889
