generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,2.4,5.0,1.0,1.0,1.0,234,5.358
200,1000,3.9272727272727272,7.0,1.0,1.0,1.0,71,10.803
300,1000,3.418181818181818,6.0,1.0,1.0,1.0,69,14.998
400,1000,5.781818181818182,11.0,1.0,1.0,1.0,86,21.605
500,1000,11.89090909090909,18.0,1.0,1.0,1.0,75,30.662
600,1000,13.672727272727272,20.0,1.0,1.0,1.0,117,35.961
700,1000,15.345454545454546,24.0,1.0,1.0,1.0,51,39.502
800,1000,18.181818181818183,29.0,1.0,1.0,1.0,127,45.996
900,1000,18.927272727272726,31.0,1.0,1.0,1.0,68,50.563
1000,1000,12.963636363636363,29.0,1.0,1.0,1.0,82,59.465
1100,1000,11.127272727272727,19.0,1.0,1.0,1.0,66,68.982
1200,1000,12.8,21.0,1.0,1.0,1.0,59,71.65
1300,1000,12.4,22.0,1.0,1.0,1.0,92,79.201
1400,1000,11.018181818181818,19.0,1.0,1.0,1.0,90,82.466
1500,1000,11.236363636363636,22.0,1.0,1.0,1.0,174,86.535
1600,1000,10.618181818181819,17.0,1.0,1.0,1.0,124,95.77
1700,1000,9.872727272727273,17.0,1.0,1.0,1.0,97,96.568
1800,1000,13.418181818181818,21.0,1.0,1.0,1.0,65,107.263
1900,1000,13.618181818181819,18.0,1.0,1.0,1.0,74,111.474
2000,1000,10.836363636363636,17.0,1.0,1.0,1.0,146,114.82
