generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,48.054545454545455,64.0,1.0,1.0,1.0,10,25.143
200,1000,87.47272727272727,107.0,1.0,1.0,1.0,9,50.593
300,1000,123.07272727272728,142.0,1.0,1.0,1.0,8,74.636
400,1000,147.0,172.0,1.0,1.0,1.0,9,100.928
500,1000,174.16363636363636,214.0,1.0,1.0,1.0,11,125.827
600,1000,181.78181818181818,217.0,1.0,1.0,1.0,9,149.493
700,1000,197.87272727272727,234.0,1.0,1.0,1.0,8,173.153
800,1000,206.52727272727273,260.0,1.0,1.0,1.0,8,199.557
900,1000,220.72727272727272,250.0,1.0,1.0,1.0,8,224.848
1000,1000,238.6,270.0,1.0,1.0,1.0,10,249.786
1100,1000,245.5090909090909,289.0,1.0,1.0,1.0,8,274.369
1200,1000,253.4909090909091,291.0,1.0,1.0,1.0,7,299.764
1300,1000,256.27272727272725,296.0,1.0,1.0,1.0,9,325.026
1400,1000,278.76363636363635,329.0,1.0,1.0,1.0,8,349.92
1500,1000,259.94545454545454,309.0,1.0,1.0,1.0,10,374.968
1600,1000,287.3636363636364,334.0,1.0,1.0,1.0,7,397.985
1700,1000,282.8909090909091,323.0,1.0,1.0,1.0,9,421.478
1800,1000,278.54545454545456,325.0,1.0,1.0,1.0,12,447.386
1900,1000,289.41818181818184,328.0,1.0,1.0,1.0,10,471.563
2000,1000,298.72727272727275,338.0,1.0,1.0,1.0,11,495.547
