generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,14.145454545454545,21.0,1.0,1.0,1.0,28,14.613
200,1000,17.509090909090908,26.0,1.0,1.0,1.0,35,29.27
300,1000,25.072727272727274,40.0,1.0,1.0,1.0,29,42.547
400,1000,32.49090909090909,51.0,1.0,1.0,1.0,39,56.984
500,1000,39.61818181818182,54.0,1.0,1.0,1.0,37,72.909
600,1000,44.4,69.0,1.0,1.0,1.0,33,85.171
700,1000,54.30909090909091,79.0,1.0,1.0,1.0,52,101.437
800,1000,56.74545454545454,89.0,1.0,1.0,1.0,33,112.824
900,1000,61.054545454545455,91.0,1.0,1.0,1.0,29,128.321
1000,1000,74.94545454545455,107.0,1.0,1.0,1.0,45,141.651
1100,1000,78.05454545454545,117.0,1.0,1.0,1.0,35,157.728
1200,1000,84.36363636363636,124.0,1.0,1.0,1.0,31,172.427
1300,1000,99.74545454545455,143.0,1.0,1.0,1.0,31,185.175
1400,1000,85.21818181818182,148.0,1.0,1.0,1.0,35,199.105
1500,1000,80.12727272727273,161.0,1.0,1.0,1.0,24,213.952
1600,1000,73.85454545454546,160.0,1.0,1.0,1.0,40,229.917
1700,1000,102.2909090909091,180.0,1.0,1.0,1.0,28,241.995
1800,1000,107.94545454545455,183.0,1.0,1.0,1.0,40,256.118
1900,1000,83.07272727272728,190.0,1.0,1.0,1.0,65,269.549
2000,1000,94.81818181818181,201.0,1.0,1.0,1.0,34,286.665
