generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,8.272727272727273,15.0,1.0,1.0,1.0,27,8.892
200,1000,17.927272727272726,26.0,1.0,1.0,1.0,14,17.616
300,1000,23.78181818181818,35.0,1.0,1.0,1.0,18,26.747
400,1000,29.29090909090909,42.0,1.0,1.0,1.0,20,35.439
500,1000,36.018181818181816,49.0,1.0,1.0,1.0,16,44.803
600,1000,40.74545454545454,57.0,1.0,1.0,1.0,24,53.201
700,1000,47.654545454545456,59.0,1.0,1.0,1.0,16,61.729
800,1000,49.27272727272727,60.0,1.0,1.0,1.0,18,70.29
900,1000,54.127272727272725,72.0,1.0,1.0,1.0,20,79.998
1000,1000,61.054545454545455,76.0,1.0,1.0,1.0,21,88.231
1100,1000,62.45454545454545,75.0,1.0,1.0,1.0,25,97.048
1200,1000,56.89090909090909,71.0,1.0,1.0,1.0,24,104.793
1300,1000,68.50909090909092,84.0,1.0,1.0,1.0,15,114.236
1400,1000,70.54545454545455,83.0,1.0,1.0,1.0,17,123.377
1500,1000,70.03636363636363,89.0,1.0,1.0,1.0,40,133.045
1600,1000,74.81818181818181,91.0,1.0,1.0,1.0,18,140.903
1700,1000,73.38181818181818,89.0,1.0,1.0,1.0,20,149.478
1800,1000,76.27272727272727,102.0,1.0,1.0,1.0,26,157.438
1900,1000,79.7090909090909,95.0,1.0,1.0,1.0,25,166.866
2000,1000,79.05454545454545,99.0,1.0,1.0,1.0,20,174.314
