generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,9.8,16.0,1.0,1.0,1.0,36,12.714
200,1000,20.70909090909091,28.0,1.0,1.0,1.0,36,26.671
300,1000,29.98181818181818,41.0,1.0,1.0,1.0,33,40.414
400,1000,36.10909090909091,49.0,1.0,1.0,1.0,35,54.03
500,1000,40.27272727272727,53.0,1.0,1.0,1.0,27,64.349
600,1000,36.25454545454546,55.0,1.0,1.0,1.0,29,77.821
700,1000,53.27272727272727,71.0,1.0,1.0,1.0,37,92.695
800,1000,52.70909090909091,76.0,1.0,1.0,1.0,41,104.37
900,1000,66.23636363636363,91.0,1.0,1.0,1.0,28,117.053
1000,1000,59.6,94.0,1.0,1.0,1.0,49,130.868
1100,1000,69.12727272727273,107.0,1.0,1.0,1.0,26,146.786
1200,1000,74.8,111.0,1.0,1.0,1.0,34,156.758
1300,1000,74.94545454545455,125.0,1.0,1.0,1.0,28,168.63
1400,1000,77.45454545454545,114.0,1.0,1.0,1.0,34,184.341
1500,1000,81.56363636363636,137.0,1.0,1.0,1.0,33,198.077
1600,1000,89.56363636363636,120.0,1.0,1.0,1.0,23,209.692
1700,1000,65.47272727272727,119.0,1.0,1.0,1.0,25,222.929
1800,1000,73.27272727272727,119.0,1.0,1.0,1.0,28,233.788
1900,1000,62.69090909090909,99.0,1.0,1.0,1.0,24,247.493
2000,1000,53.654545454545456,82.0,1.0,1.0,1.0,32,261.133
