generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,12.363636363636363,18.0,1.0,1.0,1.0,19,8.597
200,1000,18.436363636363637,27.0,1.0,1.0,1.0,19,17.045
300,1000,27.545454545454547,39.0,1.0,1.0,1.0,24,26.492
400,1000,32.56363636363636,43.0,1.0,1.0,1.0,20,33.97
500,1000,41.163636363636364,53.0,1.0,1.0,1.0,17,43.534
600,1000,46.127272727272725,59.0,1.0,1.0,1.0,17,51.473
700,1000,49.6,63.0,1.0,1.0,1.0,22,59.284
800,1000,59.21818181818182,72.0,1.0,1.0,1.0,19,70.703
900,1000,59.054545454545455,74.0,1.0,1.0,1.0,21,78.238
1000,1000,61.21818181818182,75.0,1.0,1.0,1.0,16,87.285
1100,1000,61.49090909090909,80.0,1.0,1.0,1.0,16,96.055
1200,1000,64.72727272727273,81.0,1.0,1.0,1.0,24,102.247
1300,1000,76.54545454545455,97.0,1.0,1.0,1.0,23,111.875
1400,1000,79.18181818181819,95.0,1.0,1.0,1.0,17,120.142
1500,1000,74.16363636363636,88.0,1.0,1.0,1.0,22,130.613
1600,1000,79.30909090909091,104.0,1.0,1.0,1.0,19,135.701
1700,1000,82.52727272727273,108.0,1.0,1.0,1.0,18,145.946
1800,1000,84.9090909090909,102.0,1.0,1.0,1.0,18,154.559
1900,1000,85.45454545454545,104.0,1.0,1.0,1.0,17,162.37
2000,1000,80.49090909090908,108.0,1.0,1.0,1.0,22,172.579
