generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,44.58181818181818,60.0,1.0,1.0,1.0,9,26.885
200,1000,83.50909090909092,103.0,1.0,1.0,1.0,7,53.436
300,1000,113.05454545454545,141.0,1.0,1.0,1.0,13,79.524
400,1000,142.0,173.0,1.0,1.0,1.0,10,106.228
500,1000,162.23636363636365,188.0,1.0,1.0,1.0,11,132.341
600,1000,180.96363636363637,214.0,1.0,1.0,1.0,10,159.482
700,1000,199.6909090909091,237.0,1.0,1.0,1.0,9,184.593
800,1000,217.4181818181818,259.0,1.0,1.0,1.0,9,211.027
900,1000,231.98181818181817,276.0,1.0,1.0,1.0,7,237.044
1000,1000,247.76363636363635,298.0,1.0,1.0,1.0,11,261.604
1100,1000,264.74545454545455,309.0,1.0,1.0,1.0,9,287.601
1200,1000,264.0,306.0,1.0,1.0,1.0,12,313.187
1300,1000,263.96363636363634,316.0,1.0,1.0,1.0,8,339.923
1400,1000,276.54545454545456,321.0,1.0,1.0,1.0,10,365.633
1500,1000,292.6363636363636,336.0,1.0,1.0,1.0,11,390.744
1600,1000,281.1818181818182,333.0,1.0,1.0,1.0,8,416.551
1700,1000,295.45454545454544,352.0,1.0,1.0,1.0,8,441.081
1800,1000,296.3818181818182,339.0,1.0,1.0,1.0,12,468.731
1900,1000,303.6363636363636,370.0,1.0,1.0,1.0,10,496.634
2000,1000,295.07272727272726,366.0,1.0,1.0,1.0,7,519.183
