generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,2.8363636363636364,7.0,1.0,1.0,1.0,35,2.68
200,1000,3.890909090909091,8.0,1.0,1.0,1.0,40,6.555
300,1000,4.836363636363636,11.0,1.0,1.0,1.0,47,9.74
400,1000,4.4,7.0,1.0,1.0,1.0,35,12.797
500,1000,5.381818181818182,9.0,1.0,1.0,1.0,46,16.885
600,1000,7.381818181818182,13.0,1.0,1.0,1.0,60,19.666
700,1000,11.163636363636364,22.0,1.0,1.0,1.0,30,23.013
800,1000,12.145454545454545,19.0,1.0,1.0,1.0,42,26.087
900,1000,15.563636363636364,24.0,1.0,1.0,1.0,51,29.374
1000,1000,12.872727272727273,18.0,1.0,1.0,1.0,41,33.238
1100,1000,14.290909090909091,23.0,1.0,1.0,1.0,38,36.281
1200,1000,16.254545454545454,24.0,1.0,1.0,1.0,32,38.919
1300,1000,15.127272727272727,23.0,1.0,1.0,1.0,45,43.821
1400,1000,17.490909090909092,27.0,1.0,1.0,1.0,41,47.037
1500,1000,14.945454545454545,23.0,1.0,1.0,1.0,49,50.834
1600,1000,19.945454545454545,28.0,1.0,1.0,1.0,66,52.826
1700,1000,15.781818181818181,23.0,1.0,1.0,1.0,41,56.065
1800,1000,13.672727272727272,22.0,1.0,1.0,1.0,52,57.332
1900,1000,16.927272727272726,23.0,1.0,1.0,1.0,35,61.319
2000,1000,16.945454545454545,24.0,1.0,1.0,1.0,41,64.022
