generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,7.3090909090909095,10.0,1.0,1.0,1.0,21,10.55
200,1000,17.418181818181818,26.0,1.0,1.0,1.0,30,20.795
300,1000,21.381818181818183,30.0,1.0,1.0,1.0,37,30.364
400,1000,30.945454545454545,40.0,1.0,1.0,1.0,31,41.154
500,1000,34.18181818181818,48.0,1.0,1.0,1.0,28,52.411
600,1000,40.56363636363636,60.0,1.0,1.0,1.0,25,62.752
700,1000,44.43636363636364,57.0,1.0,1.0,1.0,29,73.207
800,1000,49.41818181818182,65.0,1.0,1.0,1.0,22,85.479
900,1000,53.654545454545456,73.0,1.0,1.0,1.0,51,95.698
1000,1000,57.654545454545456,78.0,1.0,1.0,1.0,41,105.436
1100,1000,68.05454545454545,91.0,1.0,1.0,1.0,25,115.76
1200,1000,64.21818181818182,82.0,1.0,1.0,1.0,54,126.334
1300,1000,62.8,81.0,1.0,1.0,1.0,21,138.678
1400,1000,70.81818181818181,92.0,1.0,1.0,1.0,16,147.226
1500,1000,62.21818181818182,80.0,1.0,1.0,1.0,23,158.713
1600,1000,56.30909090909091,77.0,1.0,1.0,1.0,26,169.45
1700,1000,64.27272727272727,82.0,1.0,1.0,1.0,21,181.44
1800,1000,62.96363636363636,92.0,1.0,1.0,1.0,22,190.248
1900,1000,68.52727272727273,90.0,1.0,1.0,1.0,20,201.118
2000,1000,74.2909090909091,92.0,1.0,1.0,1.0,17,213.257
