generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,45.27272727272727,62.0,1.0,1.0,1.0,11,27.918
200,1000,88.38181818181818,108.0,1.0,1.0,1.0,9,55.885
300,1000,112.52727272727273,142.0,1.0,1.0,1.0,9,84.063
400,1000,153.01818181818183,189.0,1.0,1.0,1.0,13,112.066
500,1000,184.78181818181818,235.0,1.0,1.0,1.0,14,140.477
600,1000,180.29090909090908,256.0,1.0,1.0,1.0,10,168.419
700,1000,195.6,322.0,1.0,1.0,1.0,13,196.904
800,1000,237.6909090909091,330.0,1.0,1.0,1.0,13,223.573
900,1000,226.72727272727272,352.0,1.0,1.0,1.0,10,252.42
1000,1000,211.21818181818182,301.0,1.0,1.0,1.0,9,273.899
1100,1000,215.21818181818182,397.0,1.0,1.0,1.0,10,305.441
1200,1000,228.74545454545455,359.0,1.0,1.0,1.0,10,330.524
1300,1000,267.6909090909091,439.0,1.0,1.0,1.0,10,358.492
1400,1000,291.1636363636364,450.0,1.0,1.0,1.0,9,385.231
1500,1000,298.1454545454545,485.0,1.0,1.0,1.0,10,414.74
1600,1000,323.03636363636366,502.0,1.0,1.0,1.0,14,440.723
1700,1000,172.34545454545454,253.0,1.0,1.0,1.0,10,466.236
1800,1000,258.8,532.0,1.0,1.0,1.0,12,494.386
1900,1000,151.92727272727274,322.0,1.0,1.0,1.0,13,521.309
2000,1000,145.45454545454547,351.0,1.0,1.0,1.0,15,553.127
