generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,51.25454545454546,63.0,1.0,1.0,1.0,11,27.225
200,1000,97.23636363636363,113.0,1.0,1.0,1.0,11,54.48
300,1000,130.1090909090909,162.0,1.0,1.0,1.0,13,81.055
400,1000,160.43636363636364,198.0,1.0,1.0,1.0,9,107.886
500,1000,175.1818181818182,233.0,1.0,1.0,1.0,9,133.78
600,1000,197.38181818181818,272.0,1.0,1.0,1.0,8,162.011
700,1000,223.63636363636363,264.0,1.0,1.0,1.0,10,188.126
800,1000,219.36363636363637,287.0,1.0,1.0,1.0,11,214.901
900,1000,245.92727272727274,283.0,1.0,1.0,1.0,9,242.635
1000,1000,248.85454545454544,345.0,1.0,1.0,1.0,10,269.649
1100,1000,273.76363636363635,340.0,1.0,1.0,1.0,7,295.919
1200,1000,270.72727272727275,349.0,1.0,1.0,1.0,9,323.071
1300,1000,241.21818181818182,331.0,1.0,1.0,1.0,14,350.786
1400,1000,243.03636363636363,333.0,1.0,1.0,1.0,14,377.229
1500,1000,249.2,327.0,1.0,1.0,1.0,15,402.607
1600,1000,250.92727272727274,336.0,1.0,1.0,1.0,9,430.57
1700,1000,234.29090909090908,310.0,1.0,1.0,1.0,10,457.134
1800,1000,265.3636363636364,331.0,1.0,1.0,1.0,11,483.313
1900,1000,246.92727272727274,324.0,1.0,1.0,1.0,12,510.506
2000,1000,264.6,362.0,1.0,1.0,1.0,10,539.143
