generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,11.381818181818181,17.0,1.0,1.0,1.0,41,13.058
200,1000,20.054545454545455,31.0,1.0,1.0,1.0,30,26.895
300,1000,27.418181818181818,40.0,1.0,1.0,1.0,30,38.48
400,1000,28.8,48.0,1.0,1.0,1.0,23,53.35
500,1000,40.18181818181818,59.0,1.0,1.0,1.0,41,66.344
600,1000,46.36363636363637,70.0,1.0,1.0,1.0,23,80.59
700,1000,49.07272727272727,75.0,1.0,1.0,1.0,31,93.004
800,1000,64.69090909090909,90.0,1.0,1.0,1.0,28,104.14
900,1000,43.45454545454545,67.0,1.0,1.0,1.0,37,118.617
1000,1000,68.03636363636363,94.0,1.0,1.0,1.0,54,135.367
1100,1000,58.2,85.0,1.0,1.0,1.0,30,145.852
1200,1000,61.472727272727276,87.0,1.0,1.0,1.0,39,161.131
1300,1000,58.85454545454545,111.0,1.0,1.0,1.0,42,174.729
1400,1000,77.98181818181818,115.0,1.0,1.0,1.0,31,185.503
1500,1000,80.83636363636364,121.0,1.0,1.0,1.0,40,195.223
1600,1000,71.94545454545455,119.0,1.0,1.0,1.0,51,209.983
1700,1000,58.654545454545456,104.0,1.0,1.0,1.0,29,222.035
1800,1000,72.30909090909091,118.0,1.0,1.0,1.0,41,228.003
1900,1000,70.49090909090908,121.0,1.0,1.0,1.0,69,247.337
2000,1000,73.12727272727273,118.0,1.0,1.0,1.0,39,256.814
