generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,2.3636363636363638,4.0,1.0,1.0,1.0,27,2.795
200,1000,5.0181818181818185,9.0,1.0,1.0,1.0,49,6.296
300,1000,4.654545454545454,9.0,1.0,1.0,1.0,30,10.058
400,1000,7.163636363636364,11.0,1.0,1.0,1.0,47,13.05
500,1000,9.527272727272727,16.0,1.0,1.0,1.0,47,15.672
600,1000,12.018181818181818,20.0,1.0,1.0,1.0,51,18.049
700,1000,11.745454545454546,18.0,1.0,1.0,1.0,34,22.374
800,1000,9.818181818181818,16.0,1.0,1.0,1.0,39,25.786
900,1000,9.4,15.0,1.0,1.0,1.0,44,28.672
1000,1000,11.272727272727273,21.0,1.0,1.0,1.0,50,33.793
1100,1000,13.2,24.0,1.0,1.0,1.0,53,36.597
1200,1000,13.636363636363637,21.0,1.0,1.0,1.0,48,40.029
1300,1000,15.2,23.0,1.0,1.0,1.0,34,43.436
1400,1000,13.818181818181818,22.0,1.0,1.0,1.0,37,43.026
1500,1000,15.454545454545455,25.0,1.0,1.0,1.0,57,46.738
1600,1000,16.472727272727273,26.0,1.0,1.0,1.0,36,51.653
1700,1000,16.29090909090909,25.0,1.0,1.0,1.0,72,54.156
1800,1000,16.363636363636363,26.0,1.0,1.0,1.0,33,58.166
1900,1000,17.272727272727273,30.0,1.0,1.0,1.0,41,60.442
2000,1000,18.145454545454545,24.0,1.0,1.0,1.0,65,64.727
