generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,47.127272727272725,62.0,1.0,1.0,1.0,11,26.529
200,1000,87.4,107.0,1.0,1.0,1.0,9,52.356
300,1000,118.63636363636364,143.0,1.0,1.0,1.0,8,78.063
400,1000,135.23636363636365,162.0,1.0,1.0,1.0,8,104.759
500,1000,155.74545454545455,197.0,1.0,1.0,1.0,11,131.136
600,1000,165.01818181818183,222.0,1.0,1.0,1.0,13,157.283
700,1000,205.85454545454544,243.0,1.0,1.0,1.0,9,184.047
800,1000,224.43636363636364,270.0,1.0,1.0,1.0,8,211.216
900,1000,224.6909090909091,271.0,1.0,1.0,1.0,9,236.696
1000,1000,222.9090909090909,262.0,1.0,1.0,1.0,12,263.675
1100,1000,248.16363636363636,295.0,1.0,1.0,1.0,12,290.151
1200,1000,260.6181818181818,300.0,1.0,1.0,1.0,8,314.392
1300,1000,271.6727272727273,340.0,1.0,1.0,1.0,11,338.355
1400,1000,271.45454545454544,338.0,1.0,1.0,1.0,8,365.619
1500,1000,267.23636363636365,341.0,1.0,1.0,1.0,9,391.556
1600,1000,278.94545454545454,334.0,1.0,1.0,1.0,8,416.368
1700,1000,272.74545454545455,324.0,1.0,1.0,1.0,10,445.679
1800,1000,294.2909090909091,357.0,1.0,1.0,1.0,10,470.406
1900,1000,274.90909090909093,333.0,1.0,1.0,1.0,15,494.876
2000,1000,303.6545454545454,359.0,1.0,1.0,1.0,8,520.653
