generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,38.25454545454546,52.0,1.0,1.0,1.0,11,26.254
200,1000,78.63636363636364,100.0,1.0,1.0,1.0,12,52.27
300,1000,115.2,137.0,1.0,1.0,1.0,8,79.624
400,1000,142.14545454545456,175.0,1.0,1.0,1.0,11,105.819
500,1000,169.8909090909091,211.0,1.0,1.0,1.0,11,131.925
600,1000,174.54545454545453,219.0,1.0,1.0,1.0,9,158.027
700,1000,202.1090909090909,246.0,1.0,1.0,1.0,9,183.483
800,1000,223.3272727272727,273.0,1.0,1.0,1.0,9,210.231
900,1000,249.72727272727272,297.0,1.0,1.0,1.0,8,237.942
1000,1000,251.5818181818182,320.0,1.0,1.0,1.0,8,263.412
1100,1000,274.41818181818184,321.0,1.0,1.0,1.0,7,286.953
1200,1000,260.8181818181818,323.0,1.0,1.0,1.0,10,311.252
1300,1000,263.1818181818182,316.0,1.0,1.0,1.0,7,340.625
1400,1000,275.41818181818184,344.0,1.0,1.0,1.0,11,363.313
1500,1000,281.0,337.0,1.0,1.0,1.0,10,390.27
1600,1000,299.58181818181816,354.0,1.0,1.0,1.0,7,417.41
1700,1000,285.3636363636364,342.0,1.0,1.0,1.0,8,444.31
1800,1000,285.2,360.0,1.0,1.0,1.0,7,470.541
1900,1000,285.2909090909091,341.0,1.0,1.0,1.0,10,493.316
2000,1000,293.94545454545454,343.0,1.0,1.0,1.0,13,521.381
