generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,7.236363636363636,12.0,1.0,1.0,1.0,37,10.239
200,1000,15.054545454545455,29.0,1.0,1.0,1.0,25,20.581
300,1000,22.181818181818183,31.0,1.0,1.0,1.0,25,32.079
400,1000,32.85454545454545,43.0,1.0,1.0,1.0,24,41.803
500,1000,39.10909090909091,58.0,1.0,1.0,1.0,18,53.81
600,1000,48.654545454545456,61.0,1.0,1.0,1.0,20,63.8
700,1000,49.763636363636365,68.0,1.0,1.0,1.0,30,74.847
800,1000,62.36363636363637,82.0,1.0,1.0,1.0,22,81.856
900,1000,58.56363636363636,78.0,1.0,1.0,1.0,21,94.94
1000,1000,70.0,89.0,1.0,1.0,1.0,24,104.604
1100,1000,74.27272727272727,100.0,1.0,1.0,1.0,43,115.267
1200,1000,77.01818181818182,96.0,1.0,1.0,1.0,22,121.941
1300,1000,79.58181818181818,101.0,1.0,1.0,1.0,16,134.628
1400,1000,83.2,107.0,1.0,1.0,1.0,27,142.88
1500,1000,79.67272727272727,111.0,1.0,1.0,1.0,25,152.022
1600,1000,80.41818181818182,104.0,1.0,1.0,1.0,39,156.376
1700,1000,76.54545454545455,95.0,1.0,1.0,1.0,23,172.727
1800,1000,63.45454545454545,100.0,1.0,1.0,1.0,19,184.651
1900,1000,81.16363636363636,112.0,1.0,1.0,1.0,28,194.335
2000,1000,90.7090909090909,119.0,1.0,1.0,1.0,26,203.814
