generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,8.145454545454545,13.0,1.0,1.0,1.0,22,10.935
200,1000,12.036363636363637,19.0,1.0,1.0,1.0,20,20.451
300,1000,24.254545454545454,34.0,1.0,1.0,1.0,26,31.737
400,1000,29.636363636363637,39.0,1.0,1.0,1.0,22,41.428
500,1000,42.09090909090909,54.0,1.0,1.0,1.0,52,52.833
600,1000,42.14545454545455,56.0,1.0,1.0,1.0,20,62.756
700,1000,44.945454545454545,63.0,1.0,1.0,1.0,21,72.188
800,1000,48.836363636363636,61.0,1.0,1.0,1.0,24,83.947
900,1000,56.18181818181818,80.0,1.0,1.0,1.0,25,96.661
1000,1000,60.85454545454545,72.0,1.0,1.0,1.0,40,105.26
1100,1000,62.127272727272725,79.0,1.0,1.0,1.0,37,115.432
1200,1000,60.345454545454544,86.0,1.0,1.0,1.0,47,123.491
1300,1000,67.83636363636364,87.0,1.0,1.0,1.0,20,136.743
1400,1000,64.34545454545454,89.0,1.0,1.0,1.0,23,146.194
1500,1000,59.6,75.0,1.0,1.0,1.0,37,157.521
1600,1000,74.69090909090909,93.0,1.0,1.0,1.0,29,167.79
1700,1000,80.30909090909091,104.0,1.0,1.0,1.0,32,179.146
1800,1000,75.74545454545455,110.0,1.0,1.0,1.0,34,191.983
1900,1000,81.32727272727273,104.0,1.0,1.0,1.0,21,200.128
2000,1000,81.78181818181818,109.0,1.0,1.0,1.0,28,210.732
