generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,1.3454545454545455,3.0,1.0,1.0,1.0,27,2.853
200,1000,2.981818181818182,6.0,1.0,1.0,1.0,36,6.115
300,1000,3.1272727272727274,7.0,1.0,1.0,1.0,35,9.376
400,1000,4.4363636363636365,11.0,1.0,1.0,1.0,49,13.416
500,1000,6.581818181818182,12.0,1.0,1.0,1.0,38,15.614
600,1000,6.7272727272727275,11.0,1.0,1.0,1.0,98,20.008
700,1000,7.5636363636363635,14.0,1.0,1.0,1.0,37,23.843
800,1000,11.454545454545455,16.0,1.0,1.0,1.0,34,25.879
900,1000,12.363636363636363,20.0,1.0,1.0,1.0,52,31.467
1000,1000,11.763636363636364,16.0,1.0,1.0,1.0,44,31.872
1100,1000,13.090909090909092,20.0,1.0,1.0,1.0,45,36.132
1200,1000,12.254545454545454,20.0,1.0,1.0,1.0,65,39.337
1300,1000,13.2,23.0,1.0,1.0,1.0,44,42.891
1400,1000,11.309090909090909,17.0,1.0,1.0,1.0,46,44.81
1500,1000,13.309090909090909,18.0,1.0,1.0,1.0,32,49.066
1600,1000,12.036363636363637,19.0,1.0,1.0,1.0,48,52.687
1700,1000,12.945454545454545,21.0,1.0,1.0,1.0,39,53.467
1800,1000,12.036363636363637,19.0,1.0,1.0,1.0,56,58.671
1900,1000,11.090909090909092,20.0,1.0,1.0,1.0,61,60.709
2000,1000,14.327272727272728,21.0,1.0,1.0,1.0,56,65.428
