generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,6.618181818181818,12.0,1.0,1.0,1.0,38,12.786
200,1000,14.709090909090909,23.0,1.0,1.0,1.0,42,28.224
300,1000,22.509090909090908,33.0,1.0,1.0,1.0,23,42.334
400,1000,21.945454545454545,38.0,1.0,1.0,1.0,36,56.546
500,1000,36.56363636363636,55.0,1.0,1.0,1.0,41,71.684
600,1000,39.58181818181818,60.0,1.0,1.0,1.0,33,84.417
700,1000,47.90909090909091,76.0,1.0,1.0,1.0,40,92.316
800,1000,62.127272727272725,84.0,1.0,1.0,1.0,43,110.654
900,1000,68.58181818181818,97.0,1.0,1.0,1.0,48,124.99
1000,1000,66.78181818181818,98.0,1.0,1.0,1.0,31,139.609
1100,1000,57.30909090909091,106.0,1.0,1.0,1.0,23,156.016
1200,1000,52.72727272727273,116.0,1.0,1.0,1.0,43,168.627
1300,1000,51.56363636363636,100.0,1.0,1.0,1.0,30,182.176
1400,1000,82.4,137.0,1.0,1.0,1.0,42,195.557
1500,1000,46.18181818181818,144.0,1.0,1.0,1.0,33,205.487
1600,1000,89.74545454545455,159.0,1.0,1.0,1.0,27,224.914
1700,1000,87.74545454545455,175.0,1.0,1.0,1.0,29,239.274
1800,1000,62.8,173.0,1.0,1.0,1.0,48,255.216
1900,1000,35.09090909090909,82.0,1.0,1.0,1.0,29,265.72
2000,1000,53.981818181818184,96.0,1.0,1.0,1.0,33,277.103
