generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,1.9636363636363636,6.0,1.0,1.0,1.0,35,2.188
200,1000,3.709090909090909,7.0,1.0,1.0,1.0,23,4.782
300,1000,5.490909090909091,9.0,1.0,1.0,1.0,18,7.39
400,1000,7.236363636363636,11.0,1.0,1.0,1.0,24,9.038
500,1000,8.545454545454545,14.0,1.0,1.0,1.0,16,11.788
600,1000,9.163636363636364,16.0,1.0,1.0,1.0,27,13.789
700,1000,9.89090909090909,16.0,1.0,1.0,1.0,23,15.769
800,1000,11.527272727272727,18.0,1.0,1.0,1.0,28,18.173
900,1000,15.709090909090909,23.0,1.0,1.0,1.0,30,20.906
1000,1000,14.727272727272727,24.0,1.0,1.0,1.0,27,22.478
1100,1000,14.727272727272727,21.0,1.0,1.0,1.0,29,24.587
1200,1000,17.745454545454546,30.0,1.0,1.0,1.0,27,26.567
1300,1000,18.763636363636362,25.0,1.0,1.0,1.0,38,29.652
1400,1000,17.78181818181818,25.0,1.0,1.0,1.0,29,31.915
1500,1000,15.636363636363637,21.0,1.0,1.0,1.0,23,34.372
1600,1000,18.654545454545456,25.0,1.0,1.0,1.0,31,36.772
1700,1000,17.963636363636365,26.0,1.0,1.0,1.0,20,38.098
1800,1000,18.618181818181817,24.0,1.0,1.0,1.0,40,41.203
1900,1000,18.618181818181817,26.0,1.0,1.0,1.0,29,43.521
2000,1000,17.763636363636362,24.0,1.0,1.0,1.0,26,45.047
