generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,46.70909090909091,66.0,1.0,1.0,1.0,13,27.988
200,1000,88.67272727272727,121.0,1.0,1.0,1.0,10,54.293
300,1000,115.05454545454545,143.0,1.0,1.0,1.0,12,81.328
400,1000,152.36363636363637,190.0,1.0,1.0,1.0,10,108.57
500,1000,170.07272727272726,220.0,1.0,1.0,1.0,11,136.014
600,1000,186.96363636363637,262.0,1.0,1.0,1.0,10,163.022
700,1000,160.23636363636365,285.0,1.0,1.0,1.0,10,189.588
800,1000,144.0909090909091,306.0,1.0,1.0,1.0,11,216.058
900,1000,144.0,189.0,1.0,1.0,1.0,8,243.085
1000,1000,179.47272727272727,235.0,1.0,1.0,1.0,8,271.385
1100,1000,182.12727272727273,274.0,1.0,1.0,1.0,14,299.703
1200,1000,219.94545454545454,297.0,1.0,1.0,1.0,8,324.913
1300,1000,245.65454545454546,334.0,1.0,1.0,1.0,12,352.561
1400,1000,244.03636363636363,363.0,1.0,1.0,1.0,10,378.929
1500,1000,246.3090909090909,395.0,1.0,1.0,1.0,8,406.837
1600,1000,230.3090909090909,409.0,1.0,1.0,1.0,10,432.036
1700,1000,213.70909090909092,343.0,1.0,1.0,1.0,17,461.205
1800,1000,250.34545454545454,377.0,1.0,1.0,1.0,12,488.425
1900,1000,255.6909090909091,358.0,1.0,1.0,1.0,11,515.573
2000,1000,244.8,372.0,1.0,1.0,1.0,11,542.108
