generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,50.763636363636365,67.0,1.0,1.0,1.0,9,26.996
200,1000,82.65454545454546,105.0,1.0,1.0,1.0,9,53.852
300,1000,117.67272727272727,155.0,1.0,1.0,1.0,15,80.975
400,1000,142.12727272727273,181.0,1.0,1.0,1.0,13,107.394
500,1000,155.47272727272727,204.0,1.0,1.0,1.0,9,134.488
600,1000,177.45454545454547,239.0,1.0,1.0,1.0,12,162.188
700,1000,207.14545454545456,265.0,1.0,1.0,1.0,9,188.26
800,1000,211.8,281.0,1.0,1.0,1.0,12,214.804
900,1000,231.85454545454544,305.0,1.0,1.0,1.0,11,241.92
1000,1000,256.03636363636366,323.0,1.0,1.0,1.0,8,268.247
1100,1000,260.2181818181818,317.0,1.0,1.0,1.0,12,294.359
1200,1000,276.76363636363635,364.0,1.0,1.0,1.0,9,321.966
1300,1000,284.2181818181818,369.0,1.0,1.0,1.0,11,347.248
1400,1000,270.90909090909093,374.0,1.0,1.0,1.0,11,371.366
1500,1000,276.8363636363636,414.0,1.0,1.0,1.0,10,399.469
1600,1000,288.0181818181818,374.0,1.0,1.0,1.0,9,424.624
1700,1000,318.1454545454545,415.0,1.0,1.0,1.0,8,452.479
1800,1000,279.25454545454545,390.0,1.0,1.0,1.0,11,479.073
1900,1000,289.4,373.0,1.0,1.0,1.0,9,504.262
2000,1000,228.65454545454546,367.0,1.0,1.0,1.0,7,530.885
