generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,1.0545454545454545,4.0,1.0,1.0,1.0,259,4.294
200,1000,3.5272727272727273,6.0,1.0,1.0,1.0,74,12.338
300,1000,5.490909090909091,11.0,1.0,1.0,1.0,107,17.624
400,1000,5.745454545454545,10.0,1.0,1.0,1.0,109,24.851
500,1000,6.218181818181818,11.0,1.0,1.0,1.0,138,28.934
600,1000,7.218181818181818,12.0,1.0,1.0,1.0,79,38.503
700,1000,9.927272727272728,14.0,1.0,1.0,1.0,117,48.676
800,1000,11.781818181818181,18.0,1.0,1.0,1.0,93,53.982
900,1000,11.272727272727273,17.0,1.0,1.0,1.0,73,57.972
1000,1000,14.436363636363636,25.0,1.0,1.0,1.0,79,62.864
1100,1000,13.963636363636363,24.0,1.0,1.0,1.0,57,68.136
1200,1000,10.945454545454545,18.0,1.0,1.0,1.0,102,73.303
1300,1000,14.981818181818182,23.0,1.0,1.0,1.0,86,84.731
1400,1000,13.781818181818181,23.0,1.0,1.0,1.0,95,83.632
1500,1000,12.618181818181819,20.0,1.0,1.0,1.0,86,90.811
1600,1000,11.636363636363637,23.0,1.0,1.0,1.0,92,93.722
1700,1000,15.418181818181818,24.0,1.0,1.0,1.0,78,109.094
1800,1000,13.818181818181818,23.0,1.0,1.0,1.0,167,113.436
1900,1000,17.6,26.0,1.0,1.0,1.0,72,117.692
2000,1000,16.763636363636362,27.0,1.0,1.0,1.0,73,121.916
