generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,10.945454545454545,19.0,1.0,1.0,1.0,35,13.231
200,1000,16.854545454545455,23.0,1.0,1.0,1.0,25,28.421
300,1000,26.563636363636363,37.0,1.0,1.0,1.0,37,43.905
400,1000,35.30909090909091,51.0,1.0,1.0,1.0,45,58.059
500,1000,34.85454545454545,56.0,1.0,1.0,1.0,36,71.661
600,1000,40.81818181818182,59.0,1.0,1.0,1.0,44,87.415
700,1000,47.21818181818182,66.0,1.0,1.0,1.0,31,102.218
800,1000,50.54545454545455,78.0,1.0,1.0,1.0,30,113.986
900,1000,33.96363636363636,75.0,1.0,1.0,1.0,30,129.222
1000,1000,55.763636363636365,88.0,1.0,1.0,1.0,24,142.848
1100,1000,58.8,99.0,1.0,1.0,1.0,32,160.282
1200,1000,46.27272727272727,79.0,1.0,1.0,1.0,48,176.045
1300,1000,73.74545454545455,115.0,1.0,1.0,1.0,27,188.725
1400,1000,79.16363636363636,131.0,1.0,1.0,1.0,49,203.092
1500,1000,53.14545454545455,96.0,1.0,1.0,1.0,43,215.708
1600,1000,47.836363636363636,103.0,1.0,1.0,1.0,64,233.806
1700,1000,68.85454545454546,116.0,1.0,1.0,1.0,22,248.543
1800,1000,62.49090909090909,116.0,1.0,1.0,1.0,32,261.247
1900,1000,85.61818181818182,134.0,1.0,1.0,1.0,29,280.304
2000,1000,76.6,132.0,1.0,1.0,1.0,40,286.53
