generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,1.5636363636363637,5.0,1.0,1.0,1.0,92,3.681
200,1000,1.9636363636363636,5.0,1.0,1.0,1.0,54,8.16
300,1000,3.7454545454545456,7.0,1.0,1.0,1.0,50,13.165
400,1000,7.2,14.0,1.0,1.0,1.0,58,16.877
500,1000,10.10909090909091,17.0,1.0,1.0,1.0,44,20.726
600,1000,10.50909090909091,20.0,1.0,1.0,1.0,71,27.467
700,1000,14.872727272727273,22.0,1.0,1.0,1.0,83,30.629
800,1000,12.981818181818182,22.0,1.0,1.0,1.0,64,35.37
900,1000,12.981818181818182,23.0,1.0,1.0,1.0,78,39.578
1000,1000,14.036363636363637,28.0,1.0,1.0,1.0,52,45.685
1100,1000,13.854545454545455,25.0,1.0,1.0,1.0,65,49.456
1200,1000,16.0,27.0,1.0,1.0,1.0,69,52.476
1300,1000,17.836363636363636,28.0,1.0,1.0,1.0,63,57.251
1400,1000,17.436363636363637,29.0,1.0,1.0,1.0,56,60.728
1500,1000,13.781818181818181,24.0,1.0,1.0,1.0,79,64.286
1600,1000,15.018181818181818,22.0,1.0,1.0,1.0,86,72.008
1700,1000,14.909090909090908,25.0,1.0,1.0,1.0,53,76.487
1800,1000,12.872727272727273,20.0,1.0,1.0,1.0,96,81.805
1900,1000,13.6,20.0,1.0,1.0,1.0,72,87.741
2000,1000,16.072727272727274,23.0,1.0,1.0,1.0,65,90.569
