generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,8.581818181818182,15.0,1.0,1.0,1.0,21,8.915
200,1000,16.727272727272727,25.0,1.0,1.0,1.0,23,17.806
300,1000,20.436363636363637,29.0,1.0,1.0,1.0,17,25.511
400,1000,27.545454545454547,36.0,1.0,1.0,1.0,27,34.581
500,1000,31.4,47.0,1.0,1.0,1.0,15,44.107
600,1000,37.945454545454545,47.0,1.0,1.0,1.0,18,52.814
700,1000,41.61818181818182,54.0,1.0,1.0,1.0,24,61.077
800,1000,53.4,72.0,1.0,1.0,1.0,16,69.235
900,1000,54.54545454545455,70.0,1.0,1.0,1.0,25,78.698
1000,1000,57.945454545454545,72.0,1.0,1.0,1.0,21,86.508
1100,1000,61.41818181818182,72.0,1.0,1.0,1.0,22,97.711
1200,1000,65.43636363636364,84.0,1.0,1.0,1.0,32,104.291
1300,1000,63.981818181818184,80.0,1.0,1.0,1.0,30,112.765
1400,1000,74.8,95.0,1.0,1.0,1.0,18,121.235
1500,1000,66.45454545454545,85.0,1.0,1.0,1.0,21,129.396
1600,1000,70.98181818181818,96.0,1.0,1.0,1.0,24,138.978
1700,1000,69.63636363636364,88.0,1.0,1.0,1.0,21,147.431
1800,1000,73.05454545454545,97.0,1.0,1.0,1.0,21,156.861
1900,1000,70.47272727272727,90.0,1.0,1.0,1.0,15,165.741
2000,1000,76.78181818181818,93.0,1.0,1.0,1.0,20,173.469
