generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,1.0545454545454545,2.0,1.0,1.0,1.0,63,3.005
200,1000,3.309090909090909,9.0,1.0,1.0,1.0,34,6.281
300,1000,5.090909090909091,8.0,1.0,1.0,1.0,41,9.487
400,1000,5.945454545454545,14.0,1.0,1.0,1.0,80,11.793
500,1000,8.145454545454545,14.0,1.0,1.0,1.0,59,15.457
600,1000,11.272727272727273,15.0,1.0,1.0,1.0,54,19.583
700,1000,12.072727272727272,20.0,1.0,1.0,1.0,32,23.276
800,1000,11.090909090909092,20.0,1.0,1.0,1.0,31,25.736
900,1000,12.0,21.0,1.0,1.0,1.0,51,28.854
1000,1000,13.163636363636364,23.0,1.0,1.0,1.0,49,33.122
1100,1000,12.945454545454545,22.0,1.0,1.0,1.0,27,35.44
1200,1000,12.145454545454545,20.0,1.0,1.0,1.0,41,37.439
1300,1000,13.563636363636364,19.0,1.0,1.0,1.0,45,42.4
1400,1000,15.018181818181818,26.0,1.0,1.0,1.0,34,46.799
1500,1000,11.381818181818181,17.0,1.0,1.0,1.0,74,47.862
1600,1000,12.036363636363637,20.0,1.0,1.0,1.0,31,51.886
1700,1000,11.818181818181818,17.0,1.0,1.0,1.0,31,56.464
1800,1000,11.945454545454545,17.0,1.0,1.0,1.0,41,56.994
1900,1000,14.254545454545454,24.0,1.0,1.0,1.0,52,62.275
2000,1000,12.50909090909091,18.0,1.0,1.0,1.0,49,64.207
