generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,1.7454545454545454,4.0,1.0,1.0,1.0,60,5.788
200,1000,4.1454545454545455,9.0,1.0,1.0,1.0,120,10.319
300,1000,3.8181818181818183,10.0,1.0,1.0,1.0,100,16.684
400,1000,7.890909090909091,13.0,1.0,1.0,1.0,68,24.375
500,1000,9.163636363636364,15.0,1.0,1.0,1.0,74,30.109
600,1000,10.072727272727272,16.0,1.0,1.0,1.0,110,35.241
700,1000,11.127272727272727,19.0,1.0,1.0,1.0,119,43.77
800,1000,15.090909090909092,25.0,1.0,1.0,1.0,50,52.302
900,1000,10.690909090909091,19.0,1.0,1.0,1.0,129,61.003
1000,1000,12.545454545454545,21.0,1.0,1.0,1.0,80,64.529
1100,1000,12.545454545454545,24.0,1.0,1.0,1.0,92,66.911
1200,1000,12.50909090909091,21.0,1.0,1.0,1.0,94,77.168
1300,1000,18.472727272727273,28.0,1.0,1.0,1.0,84,85.171
1400,1000,16.727272727272727,27.0,1.0,1.0,1.0,58,89.45
1500,1000,22.618181818181817,37.0,1.0,1.0,1.0,95,93.169
1600,1000,16.89090909090909,35.0,1.0,1.0,1.0,107,100.362
1700,1000,19.12727272727273,34.0,1.0,1.0,1.0,66,111.856
1800,1000,22.072727272727274,37.0,1.0,1.0,1.0,50,112.269
1900,1000,21.454545454545453,37.0,1.0,1.0,1.0,91,114.532
2000,1000,23.745454545454546,37.0,1.0,1.0,1.0,60,128.301
