generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,1.2727272727272727,5.0,1.0,1.0,1.0,332,5.485
200,1000,3.7454545454545456,8.0,1.0,1.0,1.0,119,12.837
300,1000,6.872727272727273,14.0,1.0,1.0,1.0,129,21.91
400,1000,10.145454545454545,16.0,1.0,1.0,1.0,180,30.891
500,1000,9.054545454545455,17.0,1.0,1.0,1.0,154,40.194
600,1000,12.654545454545454,23.0,1.0,1.0,1.0,132,44.974
700,1000,14.545454545454545,31.0,1.0,1.0,1.0,122,51.209
800,1000,13.090909090909092,23.0,1.0,1.0,1.0,96,62.535
900,1000,12.4,29.0,1.0,1.0,1.0,95,78.033
1000,1000,18.672727272727272,31.0,1.0,1.0,1.0,191,86.206
1100,1000,19.618181818181817,34.0,1.0,1.0,1.0,107,94.72
1200,1000,18.836363636363636,37.0,1.0,1.0,1.0,74,103.816
1300,1000,21.072727272727274,38.0,1.0,1.0,1.0,69,112.486
1400,1000,19.29090909090909,36.0,1.0,1.0,1.0,127,115.173
1500,1000,23.963636363636365,40.0,1.0,1.0,1.0,76,119.269
1600,1000,19.30909090909091,42.0,1.0,1.0,1.0,92,130.124
1700,1000,24.618181818181817,44.0,1.0,1.0,1.0,105,144.296
1800,1000,26.345454545454544,47.0,1.0,1.0,1.0,69,153.239
1900,1000,30.8,52.0,1.0,1.0,1.0,142,162.17
2000,1000,30.036363636363635,52.0,1.0,1.0,1.0,118,162.462
